;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;;Unkn;;503,401896837527;;Unknown;Unassigned;False
;A02;SYBR;;Unkn;;518,296580681138;;Unknown;Unassigned;False
;A03;SYBR;;Unkn;;457,501811584504;;Unknown;Unassigned;False
;A04;SYBR;;Unkn;;573,111366579731;;Unknown;Unassigned;False
;A05;SYBR;;Unkn;;567,051687687131;;Unknown;Unassigned;False
;A06;SYBR;;Unkn;;707,52092359106;;Unknown;Unassigned;False
;A07;SYBR;;Unkn;;636,165146097549;;Unknown;Unassigned;False
;A08;SYBR;;Unkn;;608,152396763974;;Unknown;Unassigned;False
;A09;SYBR;;Unkn;;559,762120209179;;Unknown;Unassigned;False
;A10;SYBR;;Unkn;;590,198152522491;;Unknown;Unassigned;False
;A11;SYBR;;Unkn;;623,446691824551;;Unknown;Unassigned;False
;A12;SYBR;;Unkn;;514,924216156473;;Unknown;Unassigned;False
;B01;SYBR;;Unkn;;485,924821131124;;Unknown;Unassigned;False
;B02;SYBR;;Unkn;;584,481741543954;;Unknown;Unassigned;False
;B03;SYBR;;Unkn;;732,113141754756;;Unknown;Unassigned;False
;B04;SYBR;;Unkn;;592,855428338615;;Unknown;Unassigned;False
;B05;SYBR;;Unkn;;726,800413099678;;Unknown;Unassigned;False
;B06;SYBR;;Unkn;;659,383926541189;;Unknown;Unassigned;False
;B07;SYBR;;Unkn;;634,298866278297;;Unknown;Unassigned;False
;B08;SYBR;;Unkn;;687,318744504265;;Unknown;Unassigned;False
;B09;SYBR;;Unkn;;772,569441046333;;Unknown;Unassigned;False
;B10;SYBR;;Unkn;;499,814305949455;;Unknown;Unassigned;False
;B11;SYBR;;Unkn;;761,507399908075;;Unknown;Unassigned;False
;B12;SYBR;;Unkn;;644,070871511004;;Unknown;Unassigned;False
;C01;SYBR;;Unkn;;683,90259156173;;Unknown;Unassigned;False
;C02;SYBR;;Unkn;;698,468029673848;;Unknown;Unassigned;False
;C03;SYBR;;Unkn;;697,923742484479;;Unknown;Unassigned;False
;C04;SYBR;;Unkn;;614,473684698205;;Unknown;Unassigned;False
