;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;;Unkn;;89;103,303210009957;86;95;
;A02;SYBR;;Unkn;;89;99,9927984537895;86;92,5;
;A03;SYBR;;Unkn;;88,5;81,7686641554425;86;93;
;A04;SYBR;;Unkn;;89;112,453501458474;85,5;93,5;
;A05;SYBR;;Unkn;;89;110,96221694691;86;92;
;A06;SYBR;;Unkn;;89;140,345708465936;86;94;
;A07;SYBR;;Unkn;;89;126,617314204058;86;92,5;
;A08;SYBR;;Unkn;;89;117,235516440066;85,5;92;
;A09;SYBR;;Unkn;;88,5;102,216485487525;85,5;94;
;A10;SYBR;;Unkn;;89;114,246902675706;85,5;92,5;
;A11;SYBR;;Unkn;;89;120,527120215951;85,5;92,5;
;A12;SYBR;;Unkn;;88,5;91,0095950267326;86;94;
;B01;SYBR;;Unkn;;89;92,2014414806184;86;92,5;
;B02;SYBR;;Unkn;;89;117,437141639979;86;93,5;
;B03;SYBR;;Unkn;;89;137,924252275313;86;93;
;B04;SYBR;;Unkn;;88,5;106,873699346975;86;93;
;B05;SYBR;;Unkn;;89;148,079439375901;86;93,5;
;B06;SYBR;;Unkn;;88,5;128,799044243404;86;92,5;
;B07;SYBR;;Unkn;;88,5;125,683771366541;86;92;
;B08;SYBR;;Unkn;;88,5;142,377745820051;85,5;93;
;B09;SYBR;;Unkn;;89;155,744289913002;86;93,5;
;B10;SYBR;;Unkn;;88,5;94,1420793904703;85,5;94;
;B11;SYBR;;Unkn;;89;153,417534678157;85,5;92,5;
;B12;SYBR;;Unkn;;88,5;123,991844791879;85,5;92,5;
;C01;SYBR;;Unkn;;81;230,619469462088;75,5;84,5;
;C02;SYBR;;Unkn;;80,5;226,708697229574;68;84,5;
;C03;SYBR;;Unkn;;80,5;230,167601516179;75;84;
;C04;SYBR;;Unkn;;80,5;209,668794562072;62,5;85;
;C05;SYBR;;Unkn;;80,5;172,494874725306;74,5;86,5;
;C06;SYBR;;Unkn;;80,5;241,586580572543;64,5;84;
;C07;SYBR;;Unkn;;80,5;211,930710523542;70,5;84;
;C08;SYBR;;Unkn;;80,5;244,412438169451;66,5;84;
;C09;SYBR;;Unkn;;80,5;250,690489795;66;84;
;C10;SYBR;;Unkn;;80,5;251,366946588808;65,5;86,5;
;C11;SYBR;;Unkn;;80,5;244,748371818575;75,5;86,5;
;C12;SYBR;;Unkn;;80,5;183,25500664375;73;86;
;D01;SYBR;;Unkn;;80,5;182,646807969421;69;85,5;
;D02;SYBR;;Unkn;;80,5;197,248443229847;68;84,5;
;D03;SYBR;;Unkn;;80,5;201,767705697764;65;84;
;D04;SYBR;;Unkn;;80,5;261,127734095984;65;84,5;
;D05;SYBR;;Unkn;;80,5;232,613603649164;66,5;86;
;D06;SYBR;;Unkn;;80,5;231,158671083185;75,5;84;
;D07;SYBR;;Unkn;;80,5;197,722086848073;69,5;84;
;D08;SYBR;;Unkn;;80,5;253,255683771272;66,5;84;
;D09;SYBR;;Unkn;;80,5;228,324558044865;66,5;86;
;D10;SYBR;;Unkn;;80,5;266,325212603821;75;84;
;D11;SYBR;;Unkn;;80,5;216,671449800087;63,5;84;
;D12;SYBR;;Unkn;;80,5;203,383994911148;68;84,5;
;E01;SYBR;;Unkn;;88,5;122,630774062705;86;92;
;E02;SYBR;;Unkn;;88,5;113,889314843402;86;92;
;E03;SYBR;;Unkn;;88,5;153,968184673938;86;94;
;E04;SYBR;;Unkn;;88,5;142,26998672577;86;92,5;
;E05;SYBR;;Unkn;;88,5;136,272834699538;85,5;95;
;E06;SYBR;;Unkn;;88,5;141,066416541101;85,5;93,5;
;E07;SYBR;;Unkn;;89;157,78312741323;86;92,5;
;E08;SYBR;;Unkn;;88,5;146,889676776383;85,5;95;
;E09;SYBR;;Unkn;;89;142,150383695371;86;94;
;E10;SYBR;;Unkn;;89;142,218382495682;86;95;
;E11;SYBR;;Unkn;;89;146,594721390721;86;92,5;
;E12;SYBR;;Unkn;;89;150,158788603979;86;92,5;
;F01;SYBR;;Unkn;;88,5;83,6046279251345;86;94,5;
;F02;SYBR;;Unkn;;88,5;116,700380672817;85,5;93,5;
;F03;SYBR;;Unkn;;88,5;149,534357538193;86;95;
;F04;SYBR;;Unkn;;88,5;124,310153518932;86;95;
;F05;SYBR;;Unkn;;89;154,109045937622;86;92;
;F06;SYBR;;Unkn;;89;131,688656850081;86;92;
;F07;SYBR;;Unkn;;88,5;153,363464628282;86;93,5;
;F08;SYBR;;Unkn;;88,5;148,22411703845;86;95;
;F09;SYBR;;Unkn;;88,5;131,077043806997;85,5;92;
;F10;SYBR;;Unkn;;89;163,813935400364;85,5;93,5;
;F11;SYBR;;Unkn;;89;167,593788270734;86;92;
;F12;SYBR;;Unkn;;89;116,282248975012;86;94,5;
;G01;SYBR;;Unkn;;80,5;141,121011693005;60,5;84,5;
;G02;SYBR;;Unkn;;80,5;218,58594374555;75;84,5;
;G03;SYBR;;Unkn;;80,5;253,049864231741;76;87;
;G04;SYBR;;Unkn;;80,5;245,887772881221;73,5;84,5;
;G05;SYBR;;Unkn;;80,5;225,849980790367;64;84,5;
;G06;SYBR;;Unkn;;80,5;243,904833518428;75,5;84;
;G07;SYBR;;Unkn;;80,5;268,801408038628;72,5;84,5;
;G08;SYBR;;Unkn;;80,5;282,943001771787;67;84,5;
;G09;SYBR;;Unkn;;80,5;234,227297938056;65,5;85;
;G10;SYBR;;Unkn;;80,5;226,748072157135;75,5;84;
;G11;SYBR;;Unkn;;80,5;246,981265930341;67;86,5;
;G12;SYBR;;Unkn;;80,5;243,605979432046;67,5;84,5;
;H01;SYBR;;Unkn;;80,5;147,352488091482;74;84,5;
;H02;SYBR;;Unkn;;81;232,117016712806;66,5;84,5;
;H03;SYBR;;Unkn;;81;230,889390566519;66,5;84,5;
;H04;SYBR;;Unkn;;81;224,372933303184;68,5;85,5;
;H05;SYBR;;Unkn;;80,5;251,713517599813;64,5;84,5;
;H06;SYBR;;Unkn;;80,5;197,721882993704;68,5;84,5;
;H07;SYBR;;Unkn;;80,5;222,858640036721;76;84,5;
;H08;SYBR;;Unkn;;80,5;230,43574154953;67;85,5;
;H09;SYBR;;Unkn;;80,5;230,702251696993;66,5;84,5;
;H10;SYBR;;Unkn;;80,5;250,536534987501;64;85;
;H11;SYBR;;Unkn;;80,5;243,371956189326;68,5;84,5;
;H12;SYBR;;Unkn;;80,5;128,768175513247;67;84;
