;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Cq;20,1949472963379;19,5320554560066;20,2951144548809;17,2784720045364;17,1561547211349;17,3810996533474;16,6001418477693;15,7884313933097;17,0832036523704;18,7532207774892;17,2796166732112;19,7424214767075
A;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Cq;20,1561256405518;19,3419328938232;19,3040612057245;16,9647304691621;16,7811865526649;17,2116881737754;16,6416532853799;15,6661367077708;16,8320099205508;18,5214331981423;16,816742745309;19,3740047658778
B;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Cq;21,9220568272848;21,7073152781745;21,6930133132825;21,6479587872345;21,7689756285493;21,6077377166987;20,6854163821573;20,057869991718;20,895892442238;21,0346306180646;20,5562788911774;21,3899915354877
C;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Cq;22,5500824397502;21,8966626927506;22,0144558281047;21,2673845582129;21,4018222836403;20,1373578479566;20,3795665183102;20,0284824140425;21,1859504543542;21,0545103818508;20,7599292716059;21,3120317098507
D;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
E;Sample;;;;;;;;;;;;
E;Cq;18,1798304979758;19,9541257429957;18,5924993355651;16,9748178870629;18,6356476582476;16,9986455826084;15,598535236596;17,7405699304852;18,2375303562829;15,8594640831407;17,2772613415944;19,7939966338885
E;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
F;Sample;;;;;;;;;;;;
F;Cq;19,0314263102491;20,0741661048824;19,0253936254394;17,2072767453706;18,7308093568475;17,2467902022943;16,2029576874215;17,804231783722;18,7384338778645;16,0405663677954;17,1867216771199;19,8685766964605
F;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
G;Sample;;;;;;;;;;;;
G;Cq;21,8624790365652;21,4803253619078;21,4859332280137;22,0184229555111;21,7787583292579;21,3413861460906;20,0947696283482;20,6658257162546;20,9020751819774;20,3818482249796;20,6679419468209;21,0892320010024
G;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
H;Sample;;;;;;;;;;;;
H;Cq;22,0470421471137;21,6974737746392;21,6527673784367;22,3640802647892;21,9651396111487;21,5896585765056;20,0845533431783;21,0796299755222;20,8226629876441;20,4109787091814;20,8032147265164;22,2737356978836
H;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
