;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;;Unkn;;20,1949472963379;NaN
;A02;SYBR;;Unkn;;19,5320554560066;NaN
;A03;SYBR;;Unkn;;20,2951144548809;NaN
;A04;SYBR;;Unkn;;17,2784720045364;NaN
;A05;SYBR;;Unkn;;17,1561547211349;NaN
;A06;SYBR;;Unkn;;17,3810996533474;NaN
;A07;SYBR;;Unkn;;16,6001418477693;NaN
;A08;SYBR;;Unkn;;15,7884313933097;NaN
;A09;SYBR;;Unkn;;17,0832036523704;NaN
;A10;SYBR;;Unkn;;18,7532207774892;NaN
;A11;SYBR;;Unkn;;17,2796166732112;NaN
;A12;SYBR;;Unkn;;19,7424214767075;NaN
;B01;SYBR;;Unkn;;20,1561256405518;NaN
;B02;SYBR;;Unkn;;19,3419328938232;NaN
;B03;SYBR;;Unkn;;19,3040612057245;NaN
;B04;SYBR;;Unkn;;16,9647304691621;NaN
;B05;SYBR;;Unkn;;16,7811865526649;NaN
;B06;SYBR;;Unkn;;17,2116881737754;NaN
;B07;SYBR;;Unkn;;16,6416532853799;NaN
;B08;SYBR;;Unkn;;15,6661367077708;NaN
;B09;SYBR;;Unkn;;16,8320099205508;NaN
;B10;SYBR;;Unkn;;18,5214331981423;NaN
;B11;SYBR;;Unkn;;16,816742745309;NaN
;B12;SYBR;;Unkn;;19,3740047658778;NaN
;C01;SYBR;;Unkn;;21,9220568272848;NaN
;C02;SYBR;;Unkn;;21,7073152781745;NaN
;C03;SYBR;;Unkn;;21,6930133132825;NaN
;C04;SYBR;;Unkn;;21,6479587872345;NaN
;C05;SYBR;;Unkn;;21,7689756285493;NaN
;C06;SYBR;;Unkn;;21,6077377166987;NaN
;C07;SYBR;;Unkn;;20,6854163821573;NaN
;C08;SYBR;;Unkn;;20,057869991718;NaN
;C09;SYBR;;Unkn;;20,895892442238;NaN
;C10;SYBR;;Unkn;;21,0346306180646;NaN
;C11;SYBR;;Unkn;;20,5562788911774;NaN
;C12;SYBR;;Unkn;;21,3899915354877;NaN
;D01;SYBR;;Unkn;;22,5500824397502;NaN
;D02;SYBR;;Unkn;;21,8966626927506;NaN
;D03;SYBR;;Unkn;;22,0144558281047;NaN
;D04;SYBR;;Unkn;;21,2673845582129;NaN
;D05;SYBR;;Unkn;;21,4018222836403;NaN
;D06;SYBR;;Unkn;;20,1373578479566;NaN
;D07;SYBR;;Unkn;;20,3795665183102;NaN
;D08;SYBR;;Unkn;;20,0284824140425;NaN
;D09;SYBR;;Unkn;;21,1859504543542;NaN
;D10;SYBR;;Unkn;;21,0545103818508;NaN
;D11;SYBR;;Unkn;;20,7599292716059;NaN
;D12;SYBR;;Unkn;;21,3120317098507;NaN
;E01;SYBR;;Unkn;;18,1798304979758;NaN
;E02;SYBR;;Unkn;;19,9541257429957;NaN
;E03;SYBR;;Unkn;;18,5924993355651;NaN
;E04;SYBR;;Unkn;;16,9748178870629;NaN
;E05;SYBR;;Unkn;;18,6356476582476;NaN
;E06;SYBR;;Unkn;;16,9986455826084;NaN
;E07;SYBR;;Unkn;;15,598535236596;NaN
;E08;SYBR;;Unkn;;17,7405699304852;NaN
;E09;SYBR;;Unkn;;18,2375303562829;NaN
;E10;SYBR;;Unkn;;15,8594640831407;NaN
;E11;SYBR;;Unkn;;17,2772613415944;NaN
;E12;SYBR;;Unkn;;19,7939966338885;NaN
;F01;SYBR;;Unkn;;19,0314263102491;NaN
;F02;SYBR;;Unkn;;20,0741661048824;NaN
;F03;SYBR;;Unkn;;19,0253936254394;NaN
;F04;SYBR;;Unkn;;17,2072767453706;NaN
;F05;SYBR;;Unkn;;18,7308093568475;NaN
;F06;SYBR;;Unkn;;17,2467902022943;NaN
;F07;SYBR;;Unkn;;16,2029576874215;NaN
;F08;SYBR;;Unkn;;17,804231783722;NaN
;F09;SYBR;;Unkn;;18,7384338778645;NaN
;F10;SYBR;;Unkn;;16,0405663677954;NaN
;F11;SYBR;;Unkn;;17,1867216771199;NaN
;F12;SYBR;;Unkn;;19,8685766964605;NaN
;G01;SYBR;;Unkn;;21,8624790365652;NaN
;G02;SYBR;;Unkn;;21,4803253619078;NaN
;G03;SYBR;;Unkn;;21,4859332280137;NaN
;G04;SYBR;;Unkn;;22,0184229555111;NaN
;G05;SYBR;;Unkn;;21,7787583292579;NaN
;G06;SYBR;;Unkn;;21,3413861460906;NaN
;G07;SYBR;;Unkn;;20,0947696283482;NaN
;G08;SYBR;;Unkn;;20,6658257162546;NaN
;G09;SYBR;;Unkn;;20,9020751819774;NaN
;G10;SYBR;;Unkn;;20,3818482249796;NaN
;G11;SYBR;;Unkn;;20,6679419468209;NaN
;G12;SYBR;;Unkn;;21,0892320010024;NaN
;H01;SYBR;;Unkn;;22,0470421471137;NaN
;H02;SYBR;;Unkn;;21,6974737746392;NaN
;H03;SYBR;;Unkn;;21,6527673784367;NaN
;H04;SYBR;;Unkn;;22,3640802647892;NaN
;H05;SYBR;;Unkn;;21,9651396111487;NaN
;H06;SYBR;;Unkn;;21,5896585765056;NaN
;H07;SYBR;;Unkn;;20,0845533431783;NaN
;H08;SYBR;;Unkn;;21,0796299755222;NaN
;H09;SYBR;;Unkn;;20,8226629876441;NaN
;H10;SYBR;;Unkn;;20,4109787091814;NaN
;H11;SYBR;;Unkn;;20,8032147265164;NaN
;H12;SYBR;;Unkn;;22,2737356978836;NaN
