;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;;Unkn;;438,627327758024;;Unknown;Unassigned;False
;A02;SYBR;;Unkn;;521,296907692339;;Unknown;Unassigned;False
;A03;SYBR;;Unkn;;500,803019235946;;Unknown;Unassigned;False
;A04;SYBR;;Unkn;;564,306921712823;;Unknown;Unassigned;False
;A05;SYBR;;Unkn;;521,072891498379;;Unknown;Unassigned;False
;A06;SYBR;;Unkn;;631,309387086249;;Unknown;Unassigned;False
;A07;SYBR;;Unkn;;547,077826256837;;Unknown;Unassigned;False
;A08;SYBR;;Unkn;;617,71174518973;;Unknown;Unassigned;False
;A09;SYBR;;Unkn;;600,59910683535;;Unknown;Unassigned;False
;A10;SYBR;;Unkn;;636,176114540524;;Unknown;Unassigned;False
;A11;SYBR;;Unkn;;642,616355117515;;Unknown;Unassigned;False
;A12;SYBR;;Unkn;;490,799112124597;;Unknown;Unassigned;False
;B01;SYBR;;Unkn;;415,099973900941;;Unknown;Unassigned;False
;B02;SYBR;;Unkn;;622,704901609366;;Unknown;Unassigned;False
;B03;SYBR;;Unkn;;422,711395812374;;Unknown;Unassigned;False
;B04;SYBR;;Unkn;;583,247777926228;;Unknown;Unassigned;False
;B05;SYBR;;Unkn;;583,511422028083;;Unknown;Unassigned;False
;B06;SYBR;;Unkn;;564,666578753904;;Unknown;Unassigned;False
;B07;SYBR;;Unkn;;669,098124302004;;Unknown;Unassigned;False
;B08;SYBR;;Unkn;;727,27325467012;;Unknown;Unassigned;False
;B09;SYBR;;Unkn;;754,424812569857;;Unknown;Unassigned;False
;B10;SYBR;;Unkn;;718,756611379471;;Unknown;Unassigned;False
;B11;SYBR;;Unkn;;701,057437439211;;Unknown;Unassigned;False
;B12;SYBR;;Unkn;;518,990373758144;;Unknown;Unassigned;False
;C01;SYBR;;Unkn;;588,797619077848;;Unknown;Unassigned;False
;C02;SYBR;;Unkn;;667,288028491877;;Unknown;Unassigned;False
;C03;SYBR;;Unkn;;617,243625331706;;Unknown;Unassigned;False
;C04;SYBR;;Unkn;;629,417047731319;;Unknown;Unassigned;False
;C05;SYBR;;Unkn;;684,482372129524;;Unknown;Unassigned;False
;C06;SYBR;;Unkn;;670,836679913991;;Unknown;Unassigned;False
;C07;SYBR;;Unkn;;723,530139834545;;Unknown;Unassigned;False
;C08;SYBR;;Unkn;;613,634507293309;;Unknown;Unassigned;False
;C09;SYBR;;Unkn;;586,27709764685;;Unknown;Unassigned;False
;C10;SYBR;;Unkn;;681,086462687159;;Unknown;Unassigned;False
;C11;SYBR;;Unkn;;644,246650050655;;Unknown;Unassigned;False
;C12;SYBR;;Unkn;;534,530113181814;;Unknown;Unassigned;False
;D01;SYBR;;Unkn;;464,051553005486;;Unknown;Unassigned;False
;D02;SYBR;;Unkn;;573,998859818341;;Unknown;Unassigned;False
;D03;SYBR;;Unkn;;516,699134135329;;Unknown;Unassigned;False
;D04;SYBR;;Unkn;;693,624081986058;;Unknown;Unassigned;False
;D05;SYBR;;Unkn;;601,884831674163;;Unknown;Unassigned;False
;D06;SYBR;;Unkn;;654,221614970917;;Unknown;Unassigned;False
;D07;SYBR;;Unkn;;719,584473012324;;Unknown;Unassigned;False
;D08;SYBR;;Unkn;;733,798747971808;;Unknown;Unassigned;False
;D09;SYBR;;Unkn;;704,118280293862;;Unknown;Unassigned;False
;D10;SYBR;;Unkn;;684,239901071396;;Unknown;Unassigned;False
;D11;SYBR;;Unkn;;679,312205223169;;Unknown;Unassigned;False
;D12;SYBR;;Unkn;;608,941702355568;;Unknown;Unassigned;False
;E01;SYBR;;Unkn;;292,033509432482;;Unknown;Unassigned;False
;E02;SYBR;;Unkn;;657,520515525085;;Unknown;Unassigned;False
;E03;SYBR;;Unkn;;683,813826578578;;Unknown;Unassigned;False
;E04;SYBR;;Unkn;;738,822630691774;;Unknown;Unassigned;False
;E05;SYBR;;Unkn;;688,369208531747;;Unknown;Unassigned;False
;E06;SYBR;;Unkn;;800,038833067573;;Unknown;Unassigned;False
;E07;SYBR;;Unkn;;848,462091545143;;Unknown;Unassigned;False
;E08;SYBR;;Unkn;;684,023957268558;;Unknown;Unassigned;False
;E09;SYBR;;Unkn;;731,067734790797;;Unknown;Unassigned;False
;E10;SYBR;;Unkn;;618,122375472651;;Unknown;Unassigned;False
;E11;SYBR;;Unkn;;642,793504515615;;Unknown;Unassigned;False
;E12;SYBR;;Unkn;;715,308801899638;;Unknown;Unassigned;False
;F01;SYBR;;Unkn;;657,880348249923;;Unknown;Unassigned;False
;F02;SYBR;;Unkn;;625,173338585855;;Unknown;Unassigned;False
;F03;SYBR;;Unkn;;584,847680380573;;Unknown;Unassigned;False
;F04;SYBR;;Unkn;;618,470567889466;;Unknown;Unassigned;False
;F05;SYBR;;Unkn;;642,749396136532;;Unknown;Unassigned;False
;F06;SYBR;;Unkn;;718,967552041864;;Unknown;Unassigned;False
;F07;SYBR;;Unkn;;781,596466196816;;Unknown;Unassigned;False
;F08;SYBR;;Unkn;;731,093483233179;;Unknown;Unassigned;False
;F09;SYBR;;Unkn;;750,528291480152;;Unknown;Unassigned;False
;F10;SYBR;;Unkn;;673,786590385497;;Unknown;Unassigned;False
;F11;SYBR;;Unkn;;639,684985386119;;Unknown;Unassigned;False
;F12;SYBR;;Unkn;;558,240894803802;;Unknown;Unassigned;False
;G01;SYBR;;Unkn;;445,24063303231;;Unknown;Unassigned;False
;G02;SYBR;;Unkn;;571,249251631168;;Unknown;Unassigned;False
;G03;SYBR;;Unkn;;635,086380303613;;Unknown;Unassigned;False
;G04;SYBR;;Unkn;;595,690483257393;;Unknown;Unassigned;False
;G05;SYBR;;Unkn;;623,197372027228;;Unknown;Unassigned;False
;G06;SYBR;;Unkn;;697,48346990694;;Unknown;Unassigned;False
;G07;SYBR;;Unkn;;712,684587251056;;Unknown;Unassigned;False
;G08;SYBR;;Unkn;;698,352932263937;;Unknown;Unassigned;False
;G09;SYBR;;Unkn;;641,954022005278;;Unknown;Unassigned;False
;G10;SYBR;;Unkn;;665,674101146253;;Unknown;Unassigned;False
;G11;SYBR;;Unkn;;627,740599317524;;Unknown;Unassigned;False
;G12;SYBR;;Unkn;;449,828446877621;;Unknown;Unassigned;False
;H01;SYBR;;Unkn;;442,888591197523;;Unknown;Unassigned;False
;H02;SYBR;;Unkn;;558,038578936551;;Unknown;Unassigned;False
;H03;SYBR;;Unkn;;633,392191829564;;Unknown;Unassigned;False
;H04;SYBR;;Unkn;;530,61090616769;;Unknown;Unassigned;False
;H05;SYBR;;Unkn;;648,618938357057;;Unknown;Unassigned;False
;H06;SYBR;;Unkn;;541,251381739093;;Unknown;Unassigned;False
;H07;SYBR;;Unkn;;607,017267444199;;Unknown;Unassigned;False
;H08;SYBR;;Unkn;;682,619859281634;;Unknown;Unassigned;False
;H09;SYBR;;Unkn;;627,813400278283;;Unknown;Unassigned;False
;H10;SYBR;;Unkn;;624,954891064561;;Unknown;Unassigned;False
;H11;SYBR;;Unkn;;642,396635923118;;Unknown;Unassigned;False
;H12;SYBR;;Unkn;;506,79959735949;;Unknown;Unassigned;False
