;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;;Unkn;;89;88,7146227637569;86;92,5;
;A02;SYBR;;Unkn;;85,5;77,6487528019956;82;93;
;A03;SYBR;;Unkn;;86;71,3705678260487;82,5;92;
;A04;SYBR;;Unkn;;86;82,1620882705741;82;94;
;A05;SYBR;;Unkn;;86;75,7080952100781;82;95;
;A06;SYBR;;Unkn;;89;127,629778170169;86;93;
;A07;SYBR;;Unkn;;89;111,682228074138;86;92,5;
;A08;SYBR;;Unkn;;88,5;118,24632647582;86;92,5;
;A09;SYBR;;Unkn;;89;124,620799681839;86;92;
;A10;SYBR;;Unkn;;86,5;95,4849041326106;82,5;91,5;
;A11;SYBR;;Unkn;;86,5;96,4153149215409;82;92,5;
;A12;SYBR;;Unkn;;85,5;68,0396995740924;82,5;92;
;B01;SYBR;;Unkn;;88,5;79,5440393257672;86;95;
;B02;SYBR;;Unkn;;86;93,3965247075961;82,5;92;
;B03;SYBR;;Unkn;;None;None;None;None;
;B04;SYBR;;Unkn;;85,5;90,404296710985;82;92,5;
;B05;SYBR;;Unkn;;86;86,7601502000496;82;94;
;B06;SYBR;;Unkn;;88,5;108,693097020635;86;95;
;B07;SYBR;;Unkn;;89;148,923075679195;86;93;
;B08;SYBR;;Unkn;;84,5;68,3373020965963;71;86;
;B08;SYBR;;Unkn;;89;142,136667963428;86;93;
;B09;SYBR;;Unkn;;89;158,537425718046;86;92,5;
;B10;SYBR;;Unkn;;79,5;74,5225696296678;71;82;
;B10;SYBR;;Unkn;;86;106,205679915791;82,5;91,5;
;B11;SYBR;;Unkn;;80;71,6760091712141;72;82;
;B11;SYBR;;Unkn;;86;104,26239952;82;91,5;
;B12;SYBR;;Unkn;;86;74,5288744416649;82;92,5;
;C01;SYBR;;Unkn;;81;213,026404937396;70,5;84,5;
;C02;SYBR;;Unkn;;81;244,925170242685;72;84,5;
;C03;SYBR;;Unkn;;80,5;210,406753558364;65;84;
;C04;SYBR;;Unkn;;80,5;223,023578808071;69;84;
;C05;SYBR;;Unkn;;81;239,223882005313;70,5;84,5;
;C06;SYBR;;Unkn;;80,5;234,704911215645;68;85,5;
;C07;SYBR;;Unkn;;80,5;251,256503665823;76;85,5;
;C08;SYBR;;Unkn;;80,5;209,660140752085;69;84,5;
;C09;SYBR;;Unkn;;80,5;200,019495394749;70;84;
;C10;SYBR;;Unkn;;81;234,295663704094;69;84,5;
;C11;SYBR;;Unkn;;81;222,878729634171;71;84,5;
;C12;SYBR;;Unkn;;81;189,592992984486;70;84,5;
;D01;SYBR;;Unkn;;81;166,791957715911;69;84,5;
;D02;SYBR;;Unkn;;81;199,602788086274;69,5;86,5;
;D03;SYBR;;Unkn;;81;188,940879324952;70;84,5;
;D04;SYBR;;Unkn;;81;233,75502006332;67;85,5;
;D05;SYBR;;Unkn;;81;210,466062459432;67,5;87;
;D06;SYBR;;Unkn;;81;219,598014916811;75,5;84,5;
;D07;SYBR;;Unkn;;81;249,407963398328;70;84,5;
;D08;SYBR;;Unkn;;81;261,241628144658;75,5;84,5;
;D09;SYBR;;Unkn;;81;246,488957205274;75,5;84,5;
;D10;SYBR;;Unkn;;81;229,006148376634;66;86;
;D11;SYBR;;Unkn;;81;226,764123772946;68,5;85;
;D12;SYBR;;Unkn;;81;215,783026226839;72,5;84,5;
;E01;SYBR;;Unkn;;None;None;None;None;
;E02;SYBR;;Unkn;;88,5;135,117639573909;86;95;
;E03;SYBR;;Unkn;;88,5;131,670602959001;85,5;93;
;E04;SYBR;;Unkn;;88,5;143,454903685799;86;95;
;E05;SYBR;;Unkn;;89;142,855201608905;86;95;
