;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
;55;3357,55227026551;3517,18195741888;3500,91729854827;3570,84362976565;3532,68880801685;3674,45391404526;3578,18240856671;3686,41414384527;3684,81286544852;3725,50030314199;3761,0353522178;3501,11986938296;3284,52479687648;3700,71999072414;3348,55848940413;3644,42047451158;3611,75947330349;3533,56167014994;3785,22145386892;3814,1093796136;3878,50970113551;3832,88857914992;3792,48272297739;3511,49396130267;3670,87226337148;3828,00090035923;3736,64433266603;3759,04638737132;3860,30559377076;3781,31633895972;3914,25448970091;3711,29542213561;3680,39674081826;3838,80365719666;3843,73506130575;3664,67320538789;3440,94502743742;3655,49821908639;3555,50516140196;3815,29951255321;3680,68147588663;3771,46633019118;4045,50393218499;3902,56984964235;3871,78285872171;3819,35975212052;3815,92272111761;3750,57555052744;3333,61099334376;3690,3387448266;3706,8336740296;3802,10656562507;3733,48294284477;3951,18698791752;4011,2487734755;3732,18696788273;3834,04818677478;3632,1811103143;3729,14473548242;3830,97272535818;3801,49317798464;3664,5527441699;3602,92498710526;3650,75292012978;3636,51218339498;3797,15683581508;3916,08943306167;3807,95514715473;3882,26287678504;3739,05919717759;3677,68911470067;3613,34621003267;3408,28736521775;3651,57890774071;3781,12333301989;3697,81784661587;3748,53461489686;3830,6730900251;3861,40341125531;3869,05857729046;3759,13762162992;3840,2934729479;3760,27931073017;3415,48869088393;3455,29106808123;3630,52691417572;3817,2198940449;3603,59092136161;3822,59202854211;3569,47565619791;3735,19879980469;3846,51508084547;3770,31249375811;3756,99322048079;3791,69917213966;3569,63516709912
;55,5;3356,45056082128;3515,19481176466;3498,34372418789;3569,22544568896;3529,76853370704;3673,89068542714;3576,69822285941;3686,35372512719;3683,40620257454;3723,57388898775;3759,65892411571;3500,24635356759;3284,96615790277;3700,53482652626;3346,90654202898;3642,57702775263;3608,96957905199;3533,28378078653;3784,80461300109;3815,79685869633;3879,31286529174;3830,918879376;3789,64091180698;3507,95782695999;3667,60454436846;3824,09319282812;3732,38286233714;3756,15930964421;3856,33501240196;3778,85523773234;3912,10106249262;3707,97778179791;3677,13938933917;3835,81943922188;3839,27262332764;3662,58878931604;3439,72509949865;3652,59385099976;3552,5951518637;3812,47058812315;3677,2773870585;3766,58679695369;4044,74186817834;3901,23804619792;3869,89111041668;3815,61982452423;3814,39423694329;3745,88448638585;3333,83163005925;3690,42598905046;3708,056197009;3801,79050344595;3732,18886123909;3948,89636435297;4011,3918461113;3729,32169945387;3831,70694040071;3632,52719843484;3727,9784025279;3830,87336617222;3798,57982675701;3665,99390095212;3602,38244953175;3650,47219256215;3637,5588149295;3795,90673990683;3916,9821084537;3806,29539209416;3881,0154932051;3740,90951451307;3678,22644522103;3612,72534947152;3406,25054756879;3647,6947114212;3780,05684921778;3696,4405807529;3746,02024507964;3828,02847281846;3860,15153775726;3865,68604584374;3757,99304142743;3836,38829719252;3757,2302873814;3412,17700803104;3454,44057825291;3628,9338205614;3814,86716136546;3602,31515593935;3820,08582775686;3567,69505727875;3732,79233774456;3843,05603872829;3766,73872301831;3751,98507198028;3787,36244115274;3566,09419723097
;56;3355,34885137705;3513,20766611044;3495,77014982752;3567,60726161227;3526,84825939722;3673,32745680901;3575,2140371521;3686,29330640912;3681,99953970057;3721,64747483351;3758,28249601362;3499,37283775222;3285,40751892906;3700,34966232838;3345,25459465382;3640,73358099369;3606,17968480048;3533,00589142313;3784,38777213325;3817,48433777905;3880,11602944798;3828,94917960208;3786,79910063656;3504,42169261732;3664,33682536544;3820,18548529701;3728,12139200825;3753,27223191711;3852,36443103316;3776,39413650496;3909,94763528433;3704,66014146021;3673,88203786009;3832,83522124711;3834,81018534953;3660,50437324419;3438,50517155988;3649,68948291313;3549,68514232543;3809,64166369309;3673,87329823037;3761,70726371619;4043,97980417168;3899,9062427535;3867,99936211164;3811,87989692794;3812,86575276896;3741,19342224426;3334,05226677473;3690,51323327431;3709,27871998839;3801,47444126682;3730,8947796334;3946,60574078843;4011,5349187471;3726,45643102501;3829,36569402665;3632,87328655538;3726,81206957338;3830,77400698625;3795,66647552937;3667,43505773434;3601,83991195824;3650,19146499452;3638,60544646402;3794,65664399857;3917,87478384574;3804,63563703358;3879,76810962517;3742,75983184856;3678,76377574139;3612,10448891037;3404,21372991984;3643,81051510169;3778,99036541568;3695,06331488993;3743,50587526242;3825,38385561182;3858,89966425921;3862,31351439702;3756,84846122495;3832,48312143714;3754,18126403263;3408,86532517816;3453,5900884246;3627,34072694708;3812,51442868603;3601,03939051709;3817,5796269716;3565,9144583596;3730,38587568442;3839,5969966111;3763,16495227851;3746,97692347978;3783,02571016581;3562,55322736283
;56,5;3354,24714193282;3511,22052045622;3493,19657546715;3565,98907753558;3523,92798508741;3672,76422819089;3573,7298514448;3686,23288769105;3680,5928768266;3719,72106067927;3756,90606791153;3498,49932193685;3285,84887995535;3700,1644981305;3343,60264727867;3638,89013423474;3603,38979054898;3532,72800205972;3783,97093126541;3819,17181686178;3880,91919360422;3826,97947982815;3783,95728946615;3500,88555827464;3661,06910636242;3816,2777777659;3723,85992167935;3750,38515419;3848,39384966436;3773,93303527758;3907,79420807604;3701,34250112251;3670,624686381;3829,85100327233;3830,34774737142;3658,41995717235;3437,28524362111;3646,7851148265;3546,77513278717;3806,81273926303;3670,46920940224;3756,8277304787;4043,21774016503;3898,57443930907;3866,1076138066;3808,13996933165;3811,33726859463;3736,50235810267;3334,27290349022;3690,60047749816;3710,50124296779;3801,1583790877;3729,60069802772;3944,31511722389;4011,67799138291;3723,59116259615;3827,02444765258;3633,21937467593;3725,64573661887;3830,67464780028;3792,75312430173;3668,87621451657;3601,29737438473;3649,91073742689;3639,65207799854;3793,40654809032;3918,76745923777;3802,975881973;3878,52072604524;3744,61014918404;3679,30110626175;3611,48362834923;3402,17691227089;3639,92631878218;3777,92388161358;3693,68604902696;3740,9915054452;3822,73923840518;3857,64779076116;3858,94098295029;3755,70388102246;3828,57794568176;3751,13224068386;3405,55364232528;3452,73959859629;3625,74763333277;3810,16169600659;3599,76362509482;3815,07342618635;3564,13385944045;3727,97941362429;3836,13795449392;3759,59118153871;3741,96877497928;3778,68897917888;3559,01225749468
;57;3353,14543248859;3509,233374802;3490,62300110677;3564,37089345889;3521,00771077759;3672,20099957277;3572,24566573749;3686,17246897297;3679,18621395262;3717,79464652504;3755,52963980944;3497,62580612149;3286,29024098164;3699,97933393262;3341,95069990351;3637,04668747579;3600,59989629748;3532,45011269631;3783,55409039757;3820,85929594451;3881,72235776045;3825,00978005423;3781,11547829574;3497,34942393197;3657,80138735941;3812,37007023479;3719,59845135046;3747,4980764629;3844,42326829556;3771,4719340502;3905,64078086775;3698,02486078481;3667,36733490191;3826,86678529756;3825,88530939331;3656,3355411005;3436,06531568235;3643,88074673987;3543,86512324891;3803,98381483297;3667,06512057412;3751,9481972412;4042,45567615837;3897,24263586465;3864,21586550157;3804,40004173536;3809,80878442031;3731,81129396108;3334,49354020571;3690,68772172202;3711,72376594718;3800,84231690857;3728,30661642204;3942,02449365934;4011,82106401871;3720,72589416729;3824,68320127851;3633,56546279647;3724,47940366435;3830,57528861432;3789,8397730741;3670,31737129879;3600,75483681122;3649,63000985926;3640,69870953305;3792,15645218206;3919,6601346298;3801,31612691243;3877,27334246531;3746,46046651952;3679,83843678212;3610,86276778808;3400,14009462194;3636,04212246267;3776,85739781148;3692,30878316399;3738,47713562798;3820,09462119854;3856,39591726311;3855,56845150357;3754,55930081997;3824,67276992638;3748,0832173351;3402,2419594724;3451,88910876797;3624,15453971845;3807,80896332715;3598,48785967256;3812,56722540109;3562,35326052129;3725,57295156415;3832,67891237673;3756,01741079891;3736,96062647877;3774,35224819195;3555,47128762653
;57,5;3352,04372304435;3507,24622914778;3488,04942674643;3562,75270938217;3518,08743646775;3671,63777095469;3570,76148003015;3686,11205025492;3677,77955107864;3715,86823237083;3754,15321170734;3496,75229030613;3286,73160200794;3699,79416973475;3340,29875252834;3635,20324071684;3597,81000204602;3532,17222333289;3783,13724952976;3822,54677502722;3882,52552191664;3823,04008028033;3778,27366712534;3493,81328958929;3654,53366835642;3808,46236270369;3715,33698102153;3744,61099873576;3840,45268692675;3769,0108328228;3903,48735365946;3694,70722044713;3664,10998342285;3823,88256732273;3821,42287141518;3654,25112502864;3434,84538774355;3640,97637865321;3540,95511371066;3801,1548904029;3663,66103174598;3747,06866400369;4041,69361215168;3895,91083242022;3862,32411719655;3800,66011413907;3808,28030024598;3727,1202298195;3334,71417692118;3690,77496594588;3712,94628892657;3800,52625472946;3727,01253481633;3939,7338700948;4011,9641366545;3717,86062573844;3822,34195490444;3633,91155091696;3723,31307070987;3830,47592942837;3786,92642184646;3671,75852808103;3600,21229923769;3649,34928229163;3641,74534106754;3790,9063562738;3920,5528100218;3799,65637185182;3876,02595888538;3748,310783855;3680,37576730249;3610,24190722691;3398,10327697299;3632,15792614318;3775,79091400939;3690,93151730102;3735,96276581074;3817,45000399191;3855,14404376505;3852,19592005684;3753,41472061749;3820,76759417102;3745,03419398628;3398,93027661951;3451,0386189397;3622,56144610408;3805,4562306477;3597,21209425029;3810,06102461583;3560,57266160216;3723,16648950404;3829,21987025958;3752,44364005908;3731,95247797827;3770,01551720504;3551,93031775836
;58;3350,94201360013;3505,25908349356;3485,47585238606;3561,13452530548;3515,16716215794;3671,07454233656;3569,27729432285;3686,05163153685;3676,37288820467;3713,94181821659;3752,77678360524;3495,87877449077;3287,17296303422;3699,60900553687;3338,64680515319;3633,35979395789;3595,02010779451;3531,89433396949;3782,72040866192;3824,23425410995;3883,32868607288;3821,07038050641;3775,43185595493;3490,27715524662;3651,2659493534;3804,55465517258;3711,07551069263;3741,72392100865;3836,48210555795;3766,54973159542;3901,33392645117;3691,38958010943;3660,85263194377;3820,89834934796;3816,96043343707;3652,16670895679;3433,62545980478;3638,07201056658;3538,0451041724;3798,32596597285;3660,25694291786;3742,1891307662;4040,93154814502;3894,57902897579;3860,43236889152;3796,92018654278;3806,75181607165;3722,42916567791;3334,93481363667;3690,86221016973;3714,16881190596;3800,21019255033;3725,71845321064;3937,44324653026;4012,1072092903;3714,99535730958;3820,00070853037;3634,2576390375;3722,14673775535;3830,3765702424;3784,01307061882;3673,19968486325;3599,66976166418;3649,068554724;3642,79197260205;3789,65626036554;3921,44548541383;3797,99661679124;3874,77857530545;3750,16110119048;3680,91309782285;3609,62104666576;3396,06645932404;3628,27372982367;3774,72443020728;3689,55425143805;3733,44839599352;3814,80538678527;3853,892170267;3848,82338861012;3752,270140415;3816,86241841564;3741,98517063752;3395,61859376663;3450,18812911138;3620,96835248976;3803,10349796826;3595,93632882803;3807,55482383057;3558,79206268301;3720,76002744391;3825,7608281424;3748,86986931928;3726,94432947777;3765,67878621811;3548,38934789022
;58,5;3349,48745865026;3502,53956885936;3481,79665768196;3558,78867883586;3511,34316276822;3669,40089512212;3566,65858224345;3685,08318395853;3674,46563560461;3710,58805499427;3750,45293939644;3494,47102873889;3287,1910199202;3698,12790529637;3336,55854350246;3630,38609886567;3591,29710712857;3530,33211960715;3780,84569396654;3824,30194065349;3882,49154229753;3818,24898663089;3771,64950335389;3486,28411839121;3646,76170666275;3799,71433502995;3706,09112867317;3738,05136779471;3831,17037864618;3762,88207933031;3898,20680007504;3687,00735717774;3656,23789870073;3816,98088985376;3811,93382814585;3649,32780640967;3431,41403521964;3634,31964789463;3534,08205294345;3794,14744877262;3656,03116651017;3736,5289125219;4039,30870912695;3891,67688641089;3857,6673785494;3791,90584256588;3803,83490035295;3716,813377846;3334,46260020142;3690,48931182556;3714,84491207204;3799,27728841057;3723,5037607912;3934,07956734715;4011,4294047794;3711,37930565011;3816,32141876012;3633,41918496762;3719,18615381125;3829,01063330914;3780,27536933728;3673,16455989931;3598,20872265148;3647,78943159198;3642,89800557092;3787,36986017482;3921,2749651111;3795,4404448396;3872,49281563346;3750,49252376914;3680,11871026202;3607,49500660314;3393,62743190116;3623,31133358066;3771,87631087889;3686,76229618434;3730,01869289789;3810,9327021872;3851,03153601013;3845,09173194648;3750,25749602363;3812,1449450775;3737,68965430608;3391,81690165763;3448,81453488657;3618,76697843529;3799,36654720649;3593,44717267198;3804,21473266165;3556,10722316359;3717,49289461039;3822,28433937819;3744,03965751132;3721,56342113149;3760,72322187282;3543,80853897302
;59;3347,28864078506;3499,07994614056;3477,7075283647;3556,07276823712;3507,03611030525;3666,70366942362;3563,63614154408;3683,48599434679;3671,61268322212;3706,32486892448;3747,8719771775;3492,5891379322;3286,9720420032;3696,20893169818;3334,07765918544;3626,97028980109;3587,0942309677;3528,09329908179;3778,08143044495;3822,99175570121;3880,73381118421;3815,10896430142;3767,5469655724;3482,01990658384;3641,22296784673;3794,36459020069;3700,92750142149;3733,57293867773;3825,24100627128;3759,0319671429;3894,18015504693;3682,1047523896;3651,32204840995;3812,25124303212;3806,48308008705;3645,55893774943;3428,63384052187;3629,95064543091;3529,39991036131;3789,32233648515;3651,18774875724;3730,38881664702;4036,78528373232;3887,79270860843;3853,67120918365;3786,15871316148;3800,64618824747;3710,7166367001;3333,36639335413;3689,75836969272;3714,89013419225;3797,71820363706;3720,4684405514;3929,90471240388;4009,93302950813;3706,98791294365;3812,23891995655;3632,40036613314;3715,69301646811;3826,60956584224;3775,84267896399;3672,15421696189;3595,91182992113;3646,25104683733;3642,35422167798;3784,50460912064;3920,63334189299;3792,35803486784;3869,65711074573;3750,15889374437;3678,66878317643;3604,30706079062;3390,8593740829;3617,53318700435;3768,29646619215;3682,80485586475;3726,44759348768;3806,0050485115;3847,276638605;3840,51060319766;3747,59190485204;3806,11855484467;3732,71020788627;3387,10953676517;3447,1854954059;3615,60884857601;3795,14129378597;3590,61314838811;3799,64400632029;3552,56820028022;3713,54403198223;3817,8221726494;3738,62384925569;3715,93912752286;3755,39234293654;3538,41300691537
;59,5;3344,46367838179;3495,17653316312;3473,7045320303;3552,38737129346;3502,52017508827;3663,23295851157;3560,32864044924;3681,48021325329;3668,32800418955;3701,30508862754;3744,38403138259;3490,02314907648;3286,16417917694;3693,52227977186;3331,62818049729;3623,13688847917;3582,4927866558;3525,73657902834;3774,90800440757;3820,75243290183;3878,08591666889;3811,13138671949;3762,71983806092;3477,66466163475;3635,91535757623;3788,9821253854;3695,59232404593;3728,9565867435;3818,78109617416;3754,78634827025;3889,91827618874;3676,7977498463;3646,42809901552;3807,25958088123;3800,59482935204;3641,55386685586;3425,67219961089;3625,42384363593;3524,41268321231;3784,02819312312;3646,03041819548;3724,20387568607;4034,41352232426;3883,42631737996;3849,37887289607;3780,62068181245;3797,41837866817;3704,5466783831;3331,66127442903;3688,64815748648;3714,15392197923;3795,74358210999;3717,17268498963;3925,55880117194;4007,49700154145;3702,47490288269;3808,32914857707;3630,91082644658;3711,44067095628;3823,44604092546;3770,85470801427;3670,52598006771;3593,00078124797;3644,08271938359;3642,05356318578;3781,48878475364;3919,58087451243;3788,42330062637;3866,02896741442;3748,96232701865;3676,69610065259;3600,34250505595;3387,69530309564;3611,37538397138;3764,51925571541;3678,34418849252;3722,59036240327;3801,04255083266;3842,99693921523;3835,42462797203;3744,36050432605;3799,70722511355;3727,01988321519;3382,19077031153;3445,46587351504;3611,45593167253;3790,60832553972;3587,33106002724;3794,97482608618;3548,44813261997;3709,15977984055;3813,0796630986;3732,64437222213;3710,4409452867;3749,45733568447;3532,59362985022
