;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;20,0211615374636;20,0211615374636;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;18,0230045695016;18,0230045695016;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;16,8801596435888;16,8801596435888;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;17,1340617909955;17,1340617909955;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;16,7351473482424;16,7351473482424;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;17,2923139741307;17,2923139741307;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;16,5478882758323;16,5478882758323;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;17,1608978552446;17,1608978552446;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;17,1200207265373;17,1200207265373;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;16,8009955662637;16,8009955662637;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;16,5378554578714;16,5378554578714;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;16,7723827334881;16,7723827334881;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;19,78447958944;19,78447958944;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;17,5657956226201;17,5657956226201;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;17,3056019368088;17,3056019368088;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;17,1942910785636;17,1942910785636;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;16,3872445986606;16,3872445986606;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;16,804676010919;16,804676010919;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;16,3551885567706;16,3551885567706;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;16,5389963579902;16,5389963579902;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;16,7468736431589;16,7468736431589;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;16,5695675397243;16,5695675397243;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;16,4348358719065;16,4348358719065;0;NaN;NaN;NaN;0;72;
;B12;SYBR;;Unkn;;;17,0427746522364;17,0427746522364;0;NaN;NaN;NaN;0;72;
;C01;SYBR;;Unkn;;;21,800700587046;21,800700587046;0;NaN;NaN;NaN;0;72;
;C02;SYBR;;Unkn;;;21,0460865250757;21,0460865250757;0;NaN;NaN;NaN;0;72;
;C03;SYBR;;Unkn;;;21,3861672229941;21,3861672229941;0;NaN;NaN;NaN;0;72;
;C04;SYBR;;Unkn;;;21,5143897489857;21,5143897489857;0;NaN;NaN;NaN;0;72;
;C05;SYBR;;Unkn;;;20,3714386796248;20,3714386796248;0;NaN;NaN;NaN;0;72;
;C06;SYBR;;Unkn;;;19,9760896437193;19,9760896437193;0;NaN;NaN;NaN;0;72;
;C07;SYBR;;Unkn;;;21,1167994938046;21,1167994938046;0;NaN;NaN;NaN;0;72;
;C08;SYBR;;Unkn;;;21,2771819984908;21,2771819984908;0;NaN;NaN;NaN;0;72;
;C09;SYBR;;Unkn;;;21,1167544936167;21,1167544936167;0;NaN;NaN;NaN;0;72;
;C10;SYBR;;Unkn;;;19,9528665236768;19,9528665236768;0;NaN;NaN;NaN;0;72;
;C11;SYBR;;Unkn;;;20,3299269506457;20,3299269506457;0;NaN;NaN;NaN;0;72;
;C12;SYBR;;Unkn;;;20,7793817576517;20,7793817576517;0;NaN;NaN;NaN;0;72;
;D01;SYBR;;Unkn;;;22,3855691816248;22,3855691816248;0;NaN;NaN;NaN;0;72;
;D02;SYBR;;Unkn;;;21,3518102195041;21,3518102195041;0;NaN;NaN;NaN;0;72;
;D03;SYBR;;Unkn;;;21,3224151797387;21,3224151797387;0;NaN;NaN;NaN;0;72;
;D04;SYBR;;Unkn;;;21,4823694668822;21,4823694668822;0;NaN;NaN;NaN;0;72;
;D05;SYBR;;Unkn;;;20,4545434350832;20,4545434350832;0;NaN;NaN;NaN;0;72;
;D06;SYBR;;Unkn;;;19,920558288118;19,920558288118;0;NaN;NaN;NaN;0;72;
;D07;SYBR;;Unkn;;;21,0697545590779;21,0697545590779;0;NaN;NaN;NaN;0;72;
;D08;SYBR;;Unkn;;;21,0211359749726;21,0211359749726;0;NaN;NaN;NaN;0;72;
;D09;SYBR;;Unkn;;;21,1024850565375;21,1024850565375;0;NaN;NaN;NaN;0;72;
;D10;SYBR;;Unkn;;;19,7602659327309;19,7602659327309;0;NaN;NaN;NaN;0;72;
;D11;SYBR;;Unkn;;;20,2044426614736;20,2044426614736;0;NaN;NaN;NaN;0;72;
;D12;SYBR;;Unkn;;;20,3815874133172;20,3815874133172;0;NaN;NaN;NaN;0;72;
;E01;SYBR;;Unkn;;;17,3857920948486;17,3857920948486;0;NaN;NaN;NaN;0;72;
;E02;SYBR;;Unkn;;;18,6125567093906;18,6125567093906;0;NaN;NaN;NaN;0;72;
;E03;SYBR;;Unkn;;;17,2723415011556;17,2723415011556;0;NaN;NaN;NaN;0;72;
;E04;SYBR;;Unkn;;;16,9672231910127;16,9672231910127;0;NaN;NaN;NaN;0;72;
;E05;SYBR;;Unkn;;;18,3506212560784;18,3506212560784;0;NaN;NaN;NaN;0;72;
;E06;SYBR;;Unkn;;;18,0736622932087;18,0736622932087;0;NaN;NaN;NaN;0;72;
;E07;SYBR;;Unkn;;;16,454867425415;16,454867425415;0;NaN;NaN;NaN;0;72;
;E08;SYBR;;Unkn;;;16,8860839894962;16,8860839894962;0;NaN;NaN;NaN;0;72;
;E09;SYBR;;Unkn;;;17,8710950496812;17,8710950496812;0;NaN;NaN;NaN;0;72;
;E10;SYBR;;Unkn;;;17,360741450502;17,360741450502;0;NaN;NaN;NaN;0;72;
;E11;SYBR;;Unkn;;;16,4445331352547;16,4445331352547;0;NaN;NaN;NaN;0;72;
;E12;SYBR;;Unkn;;;16,6353414542715;16,6353414542715;0;NaN;NaN;NaN;0;72;
;F01;SYBR;;Unkn;;;16,8995521696134;16,8995521696134;0;NaN;NaN;NaN;0;72;
;F02;SYBR;;Unkn;;;18,7850156991881;18,7850156991881;0;NaN;NaN;NaN;0;72;
;F03;SYBR;;Unkn;;;17,389929486376;17,389929486376;0;NaN;NaN;NaN;0;72;
;F04;SYBR;;Unkn;;;16,9777910654768;16,9777910654768;0;NaN;NaN;NaN;0;72;
;F05;SYBR;;Unkn;;;18,3460413289667;18,3460413289667;0;NaN;NaN;NaN;0;72;
;F06;SYBR;;Unkn;;;18,113173520481;18,113173520481;0;NaN;NaN;NaN;0;72;
;F07;SYBR;;Unkn;;;16,5566623094076;16,5566623094076;0;NaN;NaN;NaN;0;72;
;F08;SYBR;;Unkn;;;17,0347586498924;17,0347586498924;0;NaN;NaN;NaN;0;72;
;F09;SYBR;;Unkn;;;18,056832236405;18,056832236405;0;NaN;NaN;NaN;0;72;
;F10;SYBR;;Unkn;;;17,2772726096896;17,2772726096896;0;NaN;NaN;NaN;0;72;
;F11;SYBR;;Unkn;;;16,3408274531726;16,3408274531726;0;NaN;NaN;NaN;0;72;
;F12;SYBR;;Unkn;;;17,3473924484663;17,3473924484663;0;NaN;NaN;NaN;0;72;
;G01;SYBR;;Unkn;;;21,0352752371413;21,0352752371413;0;NaN;NaN;NaN;0;72;
;G02;SYBR;;Unkn;;;21,3782389239713;21,3782389239713;0;NaN;NaN;NaN;0;72;
;G03;SYBR;;Unkn;;;20,9362638105097;20,9362638105097;0;NaN;NaN;NaN;0;72;
;G04;SYBR;;Unkn;;;21,628536125946;21,628536125946;0;NaN;NaN;NaN;0;72;
;G05;SYBR;;Unkn;;;21,5504932834554;21,5504932834554;0;NaN;NaN;NaN;0;72;
;G06;SYBR;;Unkn;;;21,4023303775021;21,4023303775021;0;NaN;NaN;NaN;0;72;
;G07;SYBR;;Unkn;;;21,0903058426762;21,0903058426762;0;NaN;NaN;NaN;0;72;
;G08;SYBR;;Unkn;;;21,1260650450177;21,1260650450177;0;NaN;NaN;NaN;0;72;
;G09;SYBR;;Unkn;;;22,1368659798065;22,1368659798065;0;NaN;NaN;NaN;0;72;
;G10;SYBR;;Unkn;;;20,7871769427982;20,7871769427982;0;NaN;NaN;NaN;0;72;
