;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Cq;20,0211615374636;18,0230045695016;16,8801596435888;17,1340617909955;16,7351473482424;17,2923139741307;16,5478882758323;17,1608978552446;17,1200207265373;16,8009955662637;16,5378554578714;16,7723827334881
A;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Cq;19,78447958944;17,5657956226201;17,3056019368088;17,1942910785636;16,3872445986606;16,804676010919;16,3551885567706;16,5389963579902;16,7468736431589;16,5695675397243;16,4348358719065;17,0427746522364
B;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Cq;21,800700587046;21,0460865250757;21,3861672229941;21,5143897489857;20,3714386796248;19,9760896437193;21,1167994938046;21,2771819984908;21,1167544936167;19,9528665236768;20,3299269506457;20,7793817576517
C;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Cq;22,3855691816248;21,3518102195041;21,3224151797387;21,4823694668822;20,4545434350832;19,920558288118;21,0697545590779;21,0211359749726;21,1024850565375;19,7602659327309;20,2044426614736;20,3815874133172
D;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
E;Sample;;;;;;;;;;;;
E;Cq;17,3857920948486;18,6125567093906;17,2723415011556;16,9672231910127;18,3506212560784;18,0736622932087;16,454867425415;16,8860839894962;17,8710950496812;17,360741450502;16,4445331352547;16,6353414542715
E;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
F;Sample;;;;;;;;;;;;
F;Cq;16,8995521696134;18,7850156991881;17,389929486376;16,9777910654768;18,3460413289667;18,113173520481;16,5566623094076;17,0347586498924;18,056832236405;17,2772726096896;16,3408274531726;17,3473924484663
F;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
G;Sample;;;;;;;;;;;;
G;Cq;21,0352752371413;21,3782389239713;20,9362638105097;21,628536125946;21,5504932834554;21,4023303775021;21,0903058426762;21,1260650450177;22,1368659798065;20,7871769427982;20,5510443697746;20,9426403583631
G;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
H;Sample;;;;;;;;;;;;
H;Cq;21,3010561825311;21,4152926218525;21,3056802111113;22,1547438617995;21,5929818052645;22,1323973788821;21,4001238937179;21,0911154860757;21,8127565801102;20,758792570643;20,2793087817026;21,3573432909165
H;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
