;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;;Unkn;;751,358129511357;;Unknown;Unassigned;False
;A02;SYBR;;Unkn;;696,990037721519;;Unknown;Unassigned;False
;A03;SYBR;;Unkn;;815,77566819635;;Unknown;Unassigned;False
;A04;SYBR;;Unkn;;848,517360611406;;Unknown;Unassigned;False
;A05;SYBR;;Unkn;;852,229685119214;;Unknown;Unassigned;False
;A06;SYBR;;Unkn;;950,991168564167;;Unknown;Unassigned;False
;A07;SYBR;;Unkn;;970,191514326093;;Unknown;Unassigned;False
;A08;SYBR;;Unkn;;798,760625582577;;Unknown;Unassigned;False
;A09;SYBR;;Unkn;;839,261324965343;;Unknown;Unassigned;False
;A10;SYBR;;Unkn;;838,194517828739;;Unknown;Unassigned;False
;A11;SYBR;;Unkn;;838,441128890363;;Unknown;Unassigned;False
;A12;SYBR;;Unkn;;589,700950819524;;Unknown;Unassigned;False
;B01;SYBR;;Unkn;;798,110472452595;;Unknown;Unassigned;False
;B02;SYBR;;Unkn;;845,629135392855;;Unknown;Unassigned;False
;B03;SYBR;;Unkn;;807,062630449741;;Unknown;Unassigned;False
;B04;SYBR;;Unkn;;953,221812251844;;Unknown;Unassigned;False
;B05;SYBR;;Unkn;;935,18012514609;;Unknown;Unassigned;False
;B06;SYBR;;Unkn;;940,111095314761;;Unknown;Unassigned;False
;B07;SYBR;;Unkn;;808,00869262777;;Unknown;Unassigned;False
;B08;SYBR;;Unkn;;983,699345201481;;Unknown;Unassigned;False
;B09;SYBR;;Unkn;;906,712653579688;;Unknown;Unassigned;False
;B10;SYBR;;Unkn;;806,570552965845;;Unknown;Unassigned;False
;B11;SYBR;;Unkn;;750,642881405472;;Unknown;Unassigned;False
;B12;SYBR;;Unkn;;765,81087885539;;Unknown;Unassigned;False
;C01;SYBR;;Unkn;;760,331101018707;;Unknown;Unassigned;False
;C02;SYBR;;Unkn;;835,191042874821;;Unknown;Unassigned;False
;C03;SYBR;;Unkn;;790,224674091181;;Unknown;Unassigned;False
;C04;SYBR;;Unkn;;881,981993160092;;Unknown;Unassigned;False
;C05;SYBR;;Unkn;;999,94468089838;;Unknown;Unassigned;False
;C06;SYBR;;Unkn;;886,672567765391;;Unknown;Unassigned;False
