;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;;Unkn;;88,5;138,183647456205;86;93;
;A02;SYBR;;Unkn;;86;95,9996239500598;82;91;
;A03;SYBR;;Unkn;;86,5;123,646312023751;82,5;91,5;
;A04;SYBR;;Unkn;;79,5;95,3578635261318;67;82;
;A04;SYBR;;Unkn;;86;130,739651788658;82,5;93;
;A05;SYBR;;Unkn;;79,5;95,4519864343722;68,5;82;
;A05;SYBR;;Unkn;;85,5;131,772642107002;82;92,5;
;A06;SYBR;;Unkn;;89;201,960272641975;86;92,5;
;A07;SYBR;;Unkn;;89;203,263877448246;86;92,5;
;A08;SYBR;;Unkn;;89;159,302173340059;85,5;92;
;A09;SYBR;;Unkn;;89;170,842901110352;86;92,5;
;A10;SYBR;;Unkn;;86;122,415008315761;82;91,5;
;A11;SYBR;;Unkn;;80;90,0784099995616;74;82;
;A11;SYBR;;Unkn;;85,5;125,538098388009;82;92,5;
;A12;SYBR;;Unkn;;None;None;None;None;
;B01;SYBR;;Unkn;;89;165,025128428489;86;92;
;B02;SYBR;;Unkn;;80;95,8137569771027;69,5;82;
;B02;SYBR;;Unkn;;86;128,46892599225;82,5;92;
;B03;SYBR;;Unkn;;86;116,933926793939;82;93,5;
;B04;SYBR;;Unkn;;79,5;99,7358656635932;72,5;82;
;B04;SYBR;;Unkn;;86;143,073909920972;82;95;
;B05;SYBR;;Unkn;;79,5;106,669134239272;70,5;82;
;B05;SYBR;;Unkn;;86;143,936818228181;82;92;
;B06;SYBR;;Unkn;;88,5;193,297114728231;86;92;
;B07;SYBR;;Unkn;;88,5;169,578750033771;85,5;92,5;
;B08;SYBR;;Unkn;;89;200,638832044462;85,5;95;
;B09;SYBR;;Unkn;;88,5;180,773603253964;86;92,5;
;B10;SYBR;;Unkn;;86;123,73861760773;82;92;
;B11;SYBR;;Unkn;;86;111,904553519788;82;91,5;
;B12;SYBR;;Unkn;;86;108,358962680773;82,5;92,5;
;C01;SYBR;;Unkn;;80,5;247,306604376314;74;84;
;C02;SYBR;;Unkn;;80,5;307,539885660603;68,5;84;
;C03;SYBR;;Unkn;;80,5;270,764176740652;60;84,5;
;C04;SYBR;;Unkn;;80,5;310,352458485286;69,5;84,5;
;C05;SYBR;;Unkn;;80,5;346,968031569367;66;84,5;
;C06;SYBR;;Unkn;;80,5;307,352123090971;67;84,5;
;C07;SYBR;;Unkn;;80,5;354,606991928671;69;86,5;
;C08;SYBR;;Unkn;;80,5;310,799170056474;70;84;
;C09;SYBR;;Unkn;;80,5;279,095690644346;68,5;85;
;C10;SYBR;;Unkn;;80,5;306,091409017655;68,5;86;
;C11;SYBR;;Unkn;;80,5;296,694714676648;68,5;84,5;
;C12;SYBR;;Unkn;;81;296,649794101525;69,5;86;
;D01;SYBR;;Unkn;;81;258,081722583468;70,5;84,5;
;D02;SYBR;;Unkn;;80,5;268,693692864768;63,5;86,5;
;D03;SYBR;;Unkn;;80,5;134,403378719121;66,5;83,5;
;D04;SYBR;;Unkn;;80,5;327,421670764177;68;85;
;D05;SYBR;;Unkn;;80,5;288,191318743586;69;84;
;D06;SYBR;;Unkn;;80,5;293,04635763589;68,5;84;
;D07;SYBR;;Unkn;;80,5;304,830772504586;76;84;
;D08;SYBR;;Unkn;;80,5;339,676490712594;69,5;84,5;
;D09;SYBR;;Unkn;;80,5;337,675483057126;69;87;
;D10;SYBR;;Unkn;;80,5;347,985713613038;68;84,5;
;D11;SYBR;;Unkn;;81;281,667609861023;70;84,5;
;D12;SYBR;;Unkn;;81;256,316088158604;74,5;85;
;E01;SYBR;;Unkn;;85,5;108,997001925574;82;92,5;
;E02;SYBR;;Unkn;;88,5;185,601715461297;85,5;92;
;E03;SYBR;;Unkn;;88,5;198,240114014427;85,5;92;
;E04;SYBR;;Unkn;;84,5;96,714548971504;71;85,5;
;E04;SYBR;;Unkn;;88,5;223,161279587932;86;95;
;E05;SYBR;;Unkn;;84,5;93,8840072157896;70;85,5;
;E05;SYBR;;Unkn;;88,5;224,332935833347;86;92;
;E06;SYBR;;Unkn;;79,5;117,693900196465;69,5;82;
;E06;SYBR;;Unkn;;86;159,842173313934;82;92;
;E07;SYBR;;Unkn;;79,5;105,160101429855;68;82;
;E07;SYBR;;Unkn;;86;150,588160835082;82;91,5;
;E08;SYBR;;Unkn;;79,5;111,131911131268;69;82;
;E08;SYBR;;Unkn;;86;155,777706548894;82;93;
;E09;SYBR;;Unkn;;85,5;116,720082333643;82;93;
;E10;SYBR;;Unkn;;88,5;116,193579739726;86;92;
;E11;SYBR;;Unkn;;84,5;92,732412591509;79,5;86;
;E11;SYBR;;Unkn;;88,5;178,063494185363;86;92;
;E12;SYBR;;Unkn;;89;201,809313748031;86;92,5;
;F01;SYBR;;Unkn;;86;121,942518289931;82;91,5;
;F02;SYBR;;Unkn;;88,5;161,63207479825;86;92;
;F03;SYBR;;Unkn;;88,5;183,363854583929;85,5;92;
;F04;SYBR;;Unkn;;88,5;192,367874152934;86;93;
;F05;SYBR;;Unkn;;88,5;201,839379440479;86;95;
;F06;SYBR;;Unkn;;79,5;105,134412825151;69,5;82;
;F06;SYBR;;Unkn;;86;146,006562963922;82;93,5;
;F07;SYBR;;Unkn;;79,5;109,391622693171;67,5;82;
;F07;SYBR;;Unkn;;86;146,964437238635;82;91,5;
;F08;SYBR;;Unkn;;79,5;111,826236814736;70;82;
;F08;SYBR;;Unkn;;86;157,711490985572;82;92,5;
;F09;SYBR;;Unkn;;79,5;105,363435152524;68;82,5;
;F09;SYBR;;Unkn;;85,5;137,05204162605;82,5;93;
;F10;SYBR;;Unkn;;88,5;166,280923001488;85,5;94;
;F11;SYBR;;Unkn;;88,5;168,004757037592;86;92;
;F12;SYBR;;Unkn;;89;165,776552100758;86;94,5;
;G01;SYBR;;Unkn;;81;303,927249165536;69;84,5;
;G02;SYBR;;Unkn;;80,5;280,257870037183;68;85;
;G03;SYBR;;Unkn;;80,5;292,622625955287;67,5;84;
;G04;SYBR;;Unkn;;80,5;308,312841925304;69,5;84;
;G05;SYBR;;Unkn;;80,5;275,725076399805;68,5;84;
;G06;SYBR;;Unkn;;80,5;324,288414919729;71;84,5;
;G07;SYBR;;Unkn;;80,5;299,04610373667;64,5;84;
;G08;SYBR;;Unkn;;80,5;329,381599282001;71,5;84;
;G09;SYBR;;Unkn;;80,5;237,644658987207;69;84;
;G10;SYBR;;Unkn;;80,5;295,090233326028;67;84,5;
;G11;SYBR;;Unkn;;80,5;262,344622326652;70;84;
;G12;SYBR;;Unkn;;80,5;257,869389512968;74,5;84;
;H01;SYBR;;Unkn;;81;270,015736103009;71;84,5;
;H02;SYBR;;Unkn;;80,5;250,285766565182;72,5;86,5;
;H03;SYBR;;Unkn;;80,5;290,954914527888;64,5;87,5;
;H04;SYBR;;Unkn;;80,5;262,922885317159;66,5;84,5;
;H05;SYBR;;Unkn;;80,5;238,895998886757;73;84,5;
;H06;SYBR;;Unkn;;80,5;254,766796491724;64,5;85,5;
;H07;SYBR;;Unkn;;81;269,802944560818;71,5;84,5;
;H08;SYBR;;Unkn;;81;302,778017152024;71,5;84,5;
;H09;SYBR;;Unkn;;80,5;226,434254175558;72;84;
;H10;SYBR;;Unkn;;80,5;243,697769129036;68;84;
;H11;SYBR;;Unkn;;80,5;271,502946810603;69;85,5;
;H12;SYBR;;Unkn;;80,5;216,295566498842;75;84;
