;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;20,4858338943939;20,4858338943939;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;18,2931811039226;18,2931811039226;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;17,1690362460055;17,1690362460055;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;17,9060210008855;17,9060210008855;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;18,185836729283;18,185836729283;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;19,2974681152796;19,2974681152796;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;16,45840757612;16,45840757612;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;17,5208120930063;17,5208120930063;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;17,9087114904145;17,9087114904145;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;17,2893234082919;17,2893234082919;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;17,2674871283846;17,2674871283846;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;17,2893020869214;17,2893020869214;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;19,4489887798812;19,4489887798812;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;18,3028123945591;18,3028123945591;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;17,0584696862355;17,0584696862355;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;17,3898584251101;17,3898584251101;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;18,0443269366877;18,0443269366877;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;19,221353132213;19,221353132213;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;16,0348054107534;16,0348054107534;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;17,2136710852517;17,2136710852517;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;17,5300607488725;17,5300607488725;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;17,0397399322648;17,0397399322648;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;17,2509533534208;17,2509533534208;0;NaN;NaN;NaN;0;72;
;B12;SYBR;;Unkn;;;16,4940728268966;16,4940728268966;0;NaN;NaN;NaN;0;72;
;C01;SYBR;;Unkn;;;22,0110452441603;22,0110452441603;0;NaN;NaN;NaN;0;72;
;C02;SYBR;;Unkn;;;22,0713049721833;22,0713049721833;0;NaN;NaN;NaN;0;72;
;C03;SYBR;;Unkn;;;21,0375530417494;21,0375530417494;0;NaN;NaN;NaN;0;72;
;C04;SYBR;;Unkn;;;21,5139804408325;21,5139804408325;0;NaN;NaN;NaN;0;72;
;C05;SYBR;;Unkn;;;21,7946830480882;21,7946830480882;0;NaN;NaN;NaN;0;72;
;C06;SYBR;;Unkn;;;22,2051208918956;22,2051208918956;0;NaN;NaN;NaN;0;72;
;C07;SYBR;;Unkn;;;20,1993179159668;20,1993179159668;0;NaN;NaN;NaN;0;72;
;C08;SYBR;;Unkn;;;20,8365456039831;20,8365456039831;0;NaN;NaN;NaN;0;72;
;C09;SYBR;;Unkn;;;21,8684798495712;21,8684798495712;0;NaN;NaN;NaN;0;72;
;C10;SYBR;;Unkn;;;19,947880090743;19,947880090743;0;NaN;NaN;NaN;0;72;
;C11;SYBR;;Unkn;;;20,6292825316793;20,6292825316793;0;NaN;NaN;NaN;0;72;
;C12;SYBR;;Unkn;;;20,1793454956469;20,1793454956469;0;NaN;NaN;NaN;0;72;
;D01;SYBR;;Unkn;;;21,7903542355267;21,7903542355267;0;NaN;NaN;NaN;0;72;
;D02;SYBR;;Unkn;;;22,0875059437529;22,0875059437529;0;NaN;NaN;NaN;0;72;
;D03;SYBR;;Unkn;;;25,5360668994116;25,5360668994116;0;NaN;NaN;NaN;0;72;
;D04;SYBR;;Unkn;;;21,4800493473425;21,4800493473425;0;NaN;NaN;NaN;0;72;
;D05;SYBR;;Unkn;;;22,1090050854519;22,1090050854519;0;NaN;NaN;NaN;0;72;
;D06;SYBR;;Unkn;;;22,0413955379899;22,0413955379899;0;NaN;NaN;NaN;0;72;
;D07;SYBR;;Unkn;;;20,1684510328395;20,1684510328395;0;NaN;NaN;NaN;0;72;
;D08;SYBR;;Unkn;;;20,3367342492041;20,3367342492041;0;NaN;NaN;NaN;0;72;
;D09;SYBR;;Unkn;;;21,5383979898682;21,5383979898682;0;NaN;NaN;NaN;0;72;
;D10;SYBR;;Unkn;;;19,9966952536963;19,9966952536963;0;NaN;NaN;NaN;0;72;
;D11;SYBR;;Unkn;;;20,8086611977552;20,8086611977552;0;NaN;NaN;NaN;0;72;
;D12;SYBR;;Unkn;;;20,4821096452967;20,4821096452967;0;NaN;NaN;NaN;0;72;
;E01;SYBR;;Unkn;;;16,4049031301856;16,4049031301856;0;NaN;NaN;NaN;0;72;
;E02;SYBR;;Unkn;;;18,7837609827163;18,7837609827163;0;NaN;NaN;NaN;0;72;
;E03;SYBR;;Unkn;;;17,6214006245538;17,6214006245538;0;NaN;NaN;NaN;0;72;
;E04;SYBR;;Unkn;;;17,5468949230136;17,5468949230136;0;NaN;NaN;NaN;0;72;
;E05;SYBR;;Unkn;;;17,662545242381;17,662545242381;0;NaN;NaN;NaN;0;72;
