;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Cq;20,4858338943939;18,2931811039226;17,1690362460055;17,9060210008855;18,185836729283;19,2974681152796;16,45840757612;17,5208120930063;17,9087114904145;17,2893234082919;17,2674871283846;17,2893020869214
A;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Cq;19,4489887798812;18,3028123945591;17,0584696862355;17,3898584251101;18,0443269366877;19,221353132213;16,0348054107534;17,2136710852517;17,5300607488725;17,0397399322648;17,2509533534208;16,4940728268966
B;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Cq;22,0110452441603;22,0713049721833;21,0375530417494;21,5139804408325;21,7946830480882;22,2051208918956;20,1993179159668;20,8365456039831;21,8684798495712;19,947880090743;20,6292825316793;20,1793454956469
C;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Cq;21,7903542355267;22,0875059437529;25,5360668994116;21,4800493473425;22,1090050854519;22,0413955379899;20,1684510328395;20,3367342492041;21,5383979898682;19,9966952536963;20,8086611977552;20,4821096452967
D;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
E;Sample;;;;;;;;;;;;
E;Cq;16,4049031301856;18,7837609827163;17,6214006245538;17,5468949230136;17,662545242381;18,1259909574726;17,9199045864817;17,6336397131952;16,9841174777223;18,6930871222053;16,5561744778094;17,1351602963024
E;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
F;Sample;;;;;;;;;;;;
F;Cq;16,5541642930209;18,8769524603996;18,1965867369542;17,5106084177463;17,2436773636557;17,5809475251358;17,1084767351899;17,2239457563361;16,3813111554065;17,8337554968666;16,7955805188594;16,9584035271153
F;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
G;Sample;;;;;;;;;;;;
G;Cq;19,9962862291703;22,2497441412687;21,7143006221985;21,6911275581451;22,100781567391;22,2734626686989;22,3955286213876;21,3020310803352;21,0010744211484;20,7098263886437;20,3543755336698;21,0580554502736
G;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
H;Sample;;;;;;;;;;;;
H;Cq;20,4023723030795;22,2506618850521;21,6194741308669;22,0958641275353;22,1682394734862;22,5955396135383;22,568418281021;21,1140633684559;20,9547802955078;21,0907366694371;20,8830222968675;21,4890880482579
H;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
