;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;;Unkn;;643,55814068393;;Unknown;Unassigned;False
;A02;SYBR;;Unkn;;786,70733159232;;Unknown;Unassigned;False
;A03;SYBR;;Unkn;;703,632624206101;;Unknown;Unassigned;False
;A04;SYBR;;Unkn;;779,423203113739;;Unknown;Unassigned;False
;A05;SYBR;;Unkn;;749,75017254908;;Unknown;Unassigned;False
;A06;SYBR;;Unkn;;773,353789638174;;Unknown;Unassigned;False
;A07;SYBR;;Unkn;;822,784173528866;;Unknown;Unassigned;False
;A08;SYBR;;Unkn;;776,60618505274;;Unknown;Unassigned;False
;A09;SYBR;;Unkn;;794,155168231266;;Unknown;Unassigned;False
;A10;SYBR;;Unkn;;780,425428803643;;Unknown;Unassigned;False
;A11;SYBR;;Unkn;;696,625337280526;;Unknown;Unassigned;False
;A12;SYBR;;Unkn;;666,643305834214;;Unknown;Unassigned;False
;B01;SYBR;;Unkn;;749,759731331894;;Unknown;Unassigned;False
;B02;SYBR;;Unkn;;786,253061018342;;Unknown;Unassigned;False
;B03;SYBR;;Unkn;;821,1848213066;;Unknown;Unassigned;False
;B04;SYBR;;Unkn;;765,139455518435;;Unknown;Unassigned;False
;B05;SYBR;;Unkn;;772,400534249077;;Unknown;Unassigned;False
;B06;SYBR;;Unkn;;896,655807072693;;Unknown;Unassigned;False
;B07;SYBR;;Unkn;;876,140944034644;;Unknown;Unassigned;False
;B08;SYBR;;Unkn;;814,608034221102;;Unknown;Unassigned;False
;B09;SYBR;;Unkn;;852,566262108826;;Unknown;Unassigned;False
;B10;SYBR;;Unkn;;751,663065926099;;Unknown;Unassigned;False
;B11;SYBR;;Unkn;;844,121885586725;;Unknown;Unassigned;False
;B12;SYBR;;Unkn;;756,838963651113;;Unknown;Unassigned;False
;C01;SYBR;;Unkn;;715,15345838324;;Unknown;Unassigned;False
;C02;SYBR;;Unkn;;773,969049128655;;Unknown;Unassigned;False
;C03;SYBR;;Unkn;;732,351095158955;;Unknown;Unassigned;False
;C04;SYBR;;Unkn;;552,817553280091;;Unknown;Unassigned;False
;C05;SYBR;;Unkn;;881,629297570967;;Unknown;Unassigned;False
;C06;SYBR;;Unkn;;804,179586468241;;Unknown;Unassigned;False
;C07;SYBR;;Unkn;;859,494043149662;;Unknown;Unassigned;False
;C08;SYBR;;Unkn;;833,12335253153;;Unknown;Unassigned;False
;C09;SYBR;;Unkn;;716,01213562567;;Unknown;Unassigned;False
;C10;SYBR;;Unkn;;843,00021979934;;Unknown;Unassigned;False
;C11;SYBR;;Unkn;;847,729865508246;;Unknown;Unassigned;False
;C12;SYBR;;Unkn;;782,202923901911;;Unknown;Unassigned;False
;D01;SYBR;;Unkn;;684,548458540175;;Unknown;Unassigned;False
;D02;SYBR;;Unkn;;764,227152444598;;Unknown;Unassigned;False
;D03;SYBR;;Unkn;;686,7393056093;;Unknown;Unassigned;False
;D04;SYBR;;Unkn;;447,762062776439;;Unknown;Unassigned;False
;D05;SYBR;;Unkn;;802,449742248993;;Unknown;Unassigned;False
;D06;SYBR;;Unkn;;747,509278763979;;Unknown;Unassigned;False
;D07;SYBR;;Unkn;;728,587033288325;;Unknown;Unassigned;False
;D08;SYBR;;Unkn;;772,590708551763;;Unknown;Unassigned;False
;D09;SYBR;;Unkn;;571,615317468636;;Unknown;Unassigned;False
;D10;SYBR;;Unkn;;801,173326423877;;Unknown;Unassigned;False
;D11;SYBR;;Unkn;;739,724833370977;;Unknown;Unassigned;False
;D12;SYBR;;Unkn;;742,512483999666;;Unknown;Unassigned;False
;E01;SYBR;;Unkn;;839,693275940187;;Unknown;Unassigned;False
;E02;SYBR;;Unkn;;34,9478502337713;;Unknown;Unassigned;False
;E03;SYBR;;Unkn;;950,406900974884;;Unknown;Unassigned;False
;E04;SYBR;;Unkn;;943,846452936465;;Unknown;Unassigned;False
;E05;SYBR;;Unkn;;880,527885541922;;Unknown;Unassigned;False
;E06;SYBR;;Unkn;;1006,11897023955;;Unknown;Unassigned;False
;E07;SYBR;;Unkn;;896,575739129323;;Unknown;Unassigned;False
;E08;SYBR;;Unkn;;660,319263649465;;Unknown;Unassigned;False
;E09;SYBR;;Unkn;;-0,0269017989950044;;Unknown;Unassigned;False
;E10;SYBR;;Unkn;;859,113540717154;;Unknown;Unassigned;False
