;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;;Unkn;;88,5;133,11117825907;86;92,5;
;A02;SYBR;;Unkn;;80;89,793409759327;70,5;82,5;
;A02;SYBR;;Unkn;;86,5;128,271820702275;82,5;91;
;A03;SYBR;;Unkn;;80;83,279482160371;72;82,5;
;A03;SYBR;;Unkn;;86,5;113,84014791185;82,5;93,5;
;A04;SYBR;;Unkn;;80;99,799380849516;71;82,5;
;A04;SYBR;;Unkn;;85,5;123,813329306019;82,5;91;
;A05;SYBR;;Unkn;;80;92,1171190033639;70,5;82,5;
;A05;SYBR;;Unkn;;86;126,07985203348;82,5;92;
;A06;SYBR;;Unkn;;88,5;164,302792946431;86;92,5;
;A07;SYBR;;Unkn;;89;186,365602634062;86;92,5;
;A08;SYBR;;Unkn;;88,5;155,112658725634;86;92;
;A09;SYBR;;Unkn;;88,5;159,009999101796;86;92;
;A10;SYBR;;Unkn;;80;83,5390074703383;71,5;82;
;A10;SYBR;;Unkn;;86;119,963573517797;82,5;91;
;A11;SYBR;;Unkn;;86;111,638076647161;82,5;92,5;
;A12;SYBR;;Unkn;;86;101,859544634811;82;92,5;
;B01;SYBR;;Unkn;;89;159,199571801515;86;92,5;
;B02;SYBR;;Unkn;;80;90,1425902943063;68,5;82,5;
;B02;SYBR;;Unkn;;86;120,036061216779;82,5;92;
;B03;SYBR;;Unkn;;80;90,1284457366821;72;82,5;
;B03;SYBR;;Unkn;;86;126,734025421884;82,5;93,5;
;B04;SYBR;;Unkn;;80;105,454757603803;72;82,5;
;B04;SYBR;;Unkn;;85,5;121,173475339896;82,5;91,5;
;B05;SYBR;;Unkn;;79,5;95,291388572315;67,5;82;
;B05;SYBR;;Unkn;;85,5;121,075632817536;82;95;
;B06;SYBR;;Unkn;;89;180,693892512536;86;92,5;
;B07;SYBR;;Unkn;;89;192,163573136614;86;92,5;
;B08;SYBR;;Unkn;;89;172,745789949646;86;92;
;B09;SYBR;;Unkn;;84,5;82,5306463477007;58,5;86;
;B09;SYBR;;Unkn;;89;166,973631303022;86;93;
;B10;SYBR;;Unkn;;86;112,001412990771;82;93;
;B11;SYBR;;Unkn;;80;85,2091830077384;73;82,5;
;B11;SYBR;;Unkn;;86,5;128,01379203803;82,5;94;
;B12;SYBR;;Unkn;;85,5;117,840439641378;82,5;92,5;
;C01;SYBR;;Unkn;;80,5;260,491627870481;70;84;
;C02;SYBR;;Unkn;;80,5;270,547998730957;69;85,5;
;C03;SYBR;;Unkn;;81;277,769940314171;70;84,5;
;C04;SYBR;;Unkn;;80,5;233,755649286818;70,5;85;
;C05;SYBR;;Unkn;;81;330,435163129189;71,5;84,5;
;C06;SYBR;;Unkn;;80,5;295,712500530386;69,5;84;
;C07;SYBR;;Unkn;;80,5;302,828162155712;64;85,5;
;C08;SYBR;;Unkn;;81;311,791203317217;71,5;84;
;C09;SYBR;;Unkn;;80,5;267,915324847401;67;84;
;C10;SYBR;;Unkn;;80,5;298,579101085292;66,5;84,5;
;C11;SYBR;;Unkn;;81;306,923290949307;71;84,5;
;C12;SYBR;;Unkn;;81;274,177151930918;72,5;84,5;
;D01;SYBR;;Unkn;;81;261,865755444518;71,5;84,5;
;D02;SYBR;;Unkn;;81;272,794717175176;68;84,5;
;D03;SYBR;;Unkn;;80,5;253,028288931672;68;86;
;D04;SYBR;;Unkn;;80,5;204,918228329628;63,5;86,5;
;D05;SYBR;;Unkn;;80,5;289,654207773123;67;84;
;D06;SYBR;;Unkn;;80,5;275,137193169556;68;84,5;
;D07;SYBR;;Unkn;;80,5;267,639182877683;67,5;84;
;D08;SYBR;;Unkn;;80,5;289,638417679846;69;85;
;D09;SYBR;;Unkn;;80,5;230,634470520785;76;84;
;D10;SYBR;;Unkn;;80,5;283,948965019987;67,5;84,5;
;D11;SYBR;;Unkn;;80,5;266,530293609273;69;84,5;
;D12;SYBR;;Unkn;;81;262,138260614358;72,5;84,5;
;E01;SYBR;;Unkn;;79,5;92,7288271231469;69,5;82;
;E01;SYBR;;Unkn;;86;131,680707175241;82,5;92;
;E02;SYBR;;Unkn;;None;None;None;None;
;E03;SYBR;;Unkn;;84,5;89,7268058524744;76,5;86;
;E03;SYBR;;Unkn;;88,5;192,757693445118;86;92;
;E04;SYBR;;Unkn;;84,5;84,3001008574201;70,5;86;
;E04;SYBR;;Unkn;;89;196,137818714007;86;92,5;
;E05;SYBR;;Unkn;;84,5;92,0098737785798;80;86;
;E05;SYBR;;Unkn;;88,5;177,230993936757;86;94;
;E06;SYBR;;Unkn;;79,5;105,957246525368;67,5;82;
;E06;SYBR;;Unkn;;86;150,760062491034;82;95;
;E07;SYBR;;Unkn;;79,5;91,902505868061;68,5;82;
;E07;SYBR;;Unkn;;86;141,379375875221;82;92;
;E08;SYBR;;Unkn;;84,5;84,2778417260259;77;86;
;E08;SYBR;;Unkn;;88,5;134,260764518336;86;92;
;E09;SYBR;;Unkn;;None;None;None;None;
;E10;SYBR;;Unkn;;89;181,268207393744;86;93,5;
;E11;SYBR;;Unkn;;79,5;102,814277835965;70,5;82;
;E11;SYBR;;Unkn;;85,5;136,974738700796;82;94,5;
;E12;SYBR;;Unkn;;86,5;124,817569179752;82,5;91,5;
;F01;SYBR;;Unkn;;80;92,2746928024549;71;82;
;F01;SYBR;;Unkn;;85,5;125,383128892104;82,5;91,5;
;F02;SYBR;;Unkn;;88,5;111,105662104486;86;95;
;F03;SYBR;;Unkn;;88,5;178,220008651021;86;93;
;F04;SYBR;;Unkn;;89;174,128902599332;86;92,5;
;F05;SYBR;;Unkn;;88,5;175,433063701814;86;95;
;F06;SYBR;;Unkn;;79,5;90,9533147759123;70;82;
;F06;SYBR;;Unkn;;86;127,64170964872;82;93;
;F07;SYBR;;Unkn;;79,5;100,412725677866;69;82;
;F07;SYBR;;Unkn;;86;146,130415573027;82;95;
;F08;SYBR;;Unkn;;84,5;86,81449825094;77,5;86;
;F08;SYBR;;Unkn;;88,5;181,061297573148;86;95;
;F09;SYBR;;Unkn;;None;None;None;None;
;F10;SYBR;;Unkn;;88,5;172,925007057697;85,5;92;
;F11;SYBR;;Unkn;;79,5;90,9703614188229;62,5;82;
;F11;SYBR;;Unkn;;86;125,231769451099;82;91,5;
;F12;SYBR;;Unkn;;80;87,1507353869437;71,5;82;
;F12;SYBR;;Unkn;;86,5;130,621695671377;82,5;94;
;G01;SYBR;;Unkn;;81;273,409955255419;69,5;87,5;
;G02;SYBR;;Unkn;;81;226,549325234633;58;85,5;
;G03;SYBR;;Unkn;;80,5;250,4237318116;61,5;84;
;G04;SYBR;;Unkn;;80,5;285,138162126015;60,5;84,5;
;G05;SYBR;;Unkn;;80,5;252,335497871502;66;84;
;G06;SYBR;;Unkn;;81;309,067682479099;70,5;87;
;G07;SYBR;;Unkn;;81;320,46535864703;71;84,5;
;G08;SYBR;;Unkn;;80,5;285,092095661354;71,5;84,5;
;G09;SYBR;;Unkn;;None;None;None;None;
;G10;SYBR;;Unkn;;81;313,164873823505;72;86;
;G11;SYBR;;Unkn;;81;285,223353124595;72;84,5;
;G12;SYBR;;Unkn;;81;287,780126948035;75;84,5;
;H01;SYBR;;Unkn;;80,5;234,182279373881;66,5;84;
;H02;SYBR;;Unkn;;81;199,621144957673;58;84;
;H03;SYBR;;Unkn;;80,5;266,173679840771;64;84;
;H04;SYBR;;Unkn;;81;255,447990627965;71,5;84,5;
;H05;SYBR;;Unkn;;81;255,351027444423;73;84,5;
;H06;SYBR;;Unkn;;80,5;269,525395720359;66,5;84,5;
;H07;SYBR;;Unkn;;80,5;261,656329423944;70,5;84;
;H08;SYBR;;Unkn;;81;250,465355810785;72;86,5;
;H09;SYBR;;Unkn;;None;None;None;None;
;H10;SYBR;;Unkn;;81;289,31406753072;73;87;
;H11;SYBR;;Unkn;;81;262,461182580889;74;84,5;
;H12;SYBR;;Unkn;;81;194,68360045375;70,5;84;
