;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Peak 1;88,5;86,5;86,5;85,5;86;88,5;89;88,5;88,5;86;86;86
A;Peak 2;None;80;80;80;80;None;None;None;None;80;None;None
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Peak 1;89;86;86;85,5;85,5;89;89;89;89;86;86,5;85,5
B;Peak 2;None;80;80;80;79,5;None;None;None;84,5;None;80;None
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Peak 1;80,5;80,5;81;80,5;81;80,5;80,5;81;80,5;80,5;81;81
C;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Peak 1;81;81;80,5;80,5;80,5;80,5;80,5;80,5;80,5;80,5;80,5;81
D;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
E;Sample;;;;;;;;;;;;
E;Peak 1;86;None;88,5;89;88,5;86;86;88,5;None;89;85,5;86,5
E;Peak 2;79,5;None;84,5;84,5;84,5;79,5;79,5;84,5;None;None;79,5;None
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
F;Sample;;;;;;;;;;;;
F;Peak 1;85,5;88,5;88,5;89;88,5;86;86;88,5;None;88,5;86;86,5
F;Peak 2;80;None;None;None;None;79,5;79,5;84,5;None;None;79,5;80
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
G;Sample;;;;;;;;;;;;
G;Peak 1;81;81;80,5;80,5;80,5;81;81;80,5;None;81;81;81
G;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
H;Sample;;;;;;;;;;;;
H;Peak 1;80,5;81;80,5;81;81;80,5;80,5;81;None;81;81;81
H;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
