;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
;55;3587,46442688918;3857,69956479649;3702,30805065706;3832,86275598959;3782,2743759741;3781,2997740964;3874,65990521158;3831,71705546667;3824,70960976555;3773,32232146403;3694,72287598065;3726,71229415486;3715,47384958044;3816,90929151822;3860,74753626774;3850,23936395017;3869,38979613491;3956,18316583132;3933,20474813679;3851,46496678994;3903,10880252079;3764,15948325845;3917,97837884112;3746,51837245061;3785,3358361919;3884,69510221553;3882,91959524478;3709,80960954073;4076,46440700516;3960,06318629516;4015,35645582398;4036,80435425228;3852,04388529575;3980,98078281927;4031,75176919035;3904,28898674633;3694,20439375535;3871,75063257042;3737,71854069211;3534,42800553888;3893,42435546845;4018,34285339274;3814,38647394098;3901,09039430172;3642,56711069537;3898,47571206028;3803,5366658802;3816,04370244305;3928,8866049517;2828,09280091939;4079,95638506166;3989,01007588499;3983,99946809666;4156,65232350304;4033,4025994302;3706,71303400667;2665,52485011318;3911,41251865132;4018,33560605716;3974,65345516756;3825,52664780343;3488,64259129445;3882,82662810071;3916,25268929585;3951,74979983827;3889,89545789244;4086,4530867457;3982,13419164738;2667,81464842296;3928,96558575456;3935,63231098596;3932,30048182108;3827,7714782152;3719,01578411938;3809,48272830934;4251,16270066616;3783,33677045153;4096,20746391976;4128,47917936954;3964,46498234396;3076,28424221101;4096,03106013932;3981,43841629358;3942,91529444029;3606,56943823619;3568,97293444613;3865,34642829998;3777,87774701105;3781,85674633907;3857,44480167169;3798,53398247121;3763,60700013234;2937,43656938002;3955,57823238725;3851,19941609478;3438,45969579791
;55,5;3590,39630783469;3855,75963281253;3700,36780864176;3833,77481501112;3782,10200051321;3782,64660544586;3875,42316583265;3833,07013940056;3825,96815947245;3771,96730802546;3692,28797740839;3724,75754711921;3715,62667698984;3818,35868141022;3860,53062612641;3852,71872343891;3870,4379955393;3956,92348876588;3932,9297073149;3852,95187441063;3906,55054703067;3760,84660666072;3915,41319778616;3744,76998430658;3781,99311407817;3882,87211557938;3878,97445874809;3712,04571870527;4073,60404089448;3955,90000595631;4014,0408079673;4033,87244724552;3850,43044226901;3975,49167431686;4027,22088523939;3900,23580682531;3691,67866196813;3868,49274306107;3734,40539838782;3538,87443547905;3890,041013474;4014,35143315064;3812,16270936583;3898,44180729392;3643,31792402847;3895,04388150592;3800,44761830942;3811,66349613728;3926,45325769765;2836,08152421021;4084,04522818008;3988,76546694597;3990,3083074472;4155,23823111843;4030,92801488904;3715,46162629105;2660,52749451853;3912,93602079242;4016,510987095;3971,51461634509;3823,6916179278;3495,38357887318;3883,47633036395;3915,31974135497;3955,52891455387;3886,07217868993;4083,44901983211;3984,45699156871;2664,3048385032;3928,3772271136;3935,92126242687;3928,9718786232;3824,04461464151;3720,00070550571;3807,83706723217;4249,78167293824;3780,90458339681;4091,88760109777;4122,10840460798;3960,13723483098;3080,91802022244;4090,85392272092;3975,84938206108;3938,7807457823;3604,48259537854;3570,26077439285;3863,03263386791;3773,71090867196;3778,71497232758;3854,76517715197;3796,01025524828;3761,01054158772;2940,94911362803;3951,65535774361;3847,18728049746;3437,52496635505
;56;3593,32818878019;3853,81970082858;3698,42756662646;3834,68687403265;3781,92962505231;3783,99343679533;3876,18642645372;3834,42322333445;3827,22670917934;3770,61229458688;3689,85307883613;3722,80280008356;3715,77950439925;3819,80807130222;3860,31371598508;3855,19808292765;3871,48619494368;3957,66381170044;3932,65466649301;3854,43878203131;3909,99229154055;3757,533730063;3912,8480167312;3743,02159616256;3778,65039196444;3881,04912894323;3875,02932225139;3714,2818278698;4070,7436747838;3951,73682561746;4012,72516011061;4030,94054023875;3848,81699924228;3970,00256581445;4022,69000128842;3896,18262690429;3689,15293018091;3865,23485355173;3731,09225608353;3543,32086541921;3886,65767147954;4010,36001290853;3809,93894479069;3895,79322028612;3644,06873736157;3891,61205095156;3797,35857073865;3807,2832898315;3924,0199104436;2844,07024750104;4088,13407129851;3988,52085800695;3996,61714679774;4153,82413873382;4028,45343034788;3724,21021857544;2655,53013892388;3914,45952293351;4014,68636813283;3968,37577752261;3821,85658805217;3502,1245664519;3884,12603262718;3914,3867934141;3959,30802926947;3882,24889948742;4080,44495291853;3986,77979149003;2660,79502858344;3927,78886847264;3936,21021386779;3925,64327542533;3820,31775106783;3720,98562689205;3806,191406155;4248,40064521032;3778,47239634209;4087,56773827577;4115,73762984641;3955,809487318;3085,55179823387;4085,67678530251;3970,26034782858;3934,64619712431;3602,39575252089;3571,54861433958;3860,71883943584;3769,54407033287;3775,5731983161;3852,08555263226;3793,48652802536;3758,4140830431;2944,46165787605;3947,73248309997;3843,17514490015;3436,5902369122
;56,5;3596,2600697257;3851,87976884463;3696,48732461116;3835,59893305417;3781,75724959142;3785,34026814479;3876,9496870748;3835,77630726834;3828,48525888624;3769,2572811483;3687,41818026387;3720,8480530479;3715,93233180865;3821,25746119421;3860,09680584376;3857,67744241639;3872,53439434807;3958,404134635;3932,37962567112;3855,92568965199;3913,43403605043;3754,22085346527;3910,28283567623;3741,27320801853;3775,30766985071;3879,22614230709;3871,08418575469;3716,51793703433;4067,88330867313;3947,57364527861;4011,40951225393;4028,00863323199;3847,20355621554;3964,51345731204;4018,15911733745;3892,12944698327;3686,6271983937;3861,97696404239;3727,77911377924;3547,76729535938;3883,27432948508;4006,36859266642;3807,71518021555;3893,14463327832;3644,81955069466;3888,18022039719;3794,26952316788;3802,90308352573;3921,58656318955;2852,05897079186;4092,22291441693;3988,27624906793;4002,92598614828;4152,41004634921;4025,97884580671;3732,95881085983;2650,53278332924;3915,98302507461;4012,86174917066;3965,23693870014;3820,02155817653;3508,86555403062;3884,77573489041;3913,45384547322;3963,08714398508;3878,42562028491;4077,44088600495;3989,10259141136;2657,28521866368;3927,20050983169;3936,4991653087;3922,31467222745;3816,59088749415;3721,97054827839;3804,54574507783;4247,01961748239;3776,04020928736;4083,24787545377;4109,36685508485;3951,48173980502;3090,1855762453;4080,49964788411;3964,67131359609;3930,51164846632;3600,30890966324;3572,8364542863;3858,40504500377;3765,37723199379;3772,43142430461;3849,40592811254;3790,96280080244;3755,81762449848;2947,97420212407;3943,80960845632;3839,16300930283;3435,65550746934
;57;3599,19195067121;3849,93983686068;3694,54708259586;3836,5109920757;3781,58487413052;3786,68709949425;3877,71294769587;3837,12939120222;3829,74380859313;3767,90226770972;3684,9832816916;3718,89330601225;3716,08515921805;3822,70685108621;3859,87989570243;3860,15680190513;3873,58259375246;3959,14445756957;3932,10458484923;3857,41259727267;3916,87578056031;3750,90797686755;3907,71765462127;3739,52481987451;3771,96494773698;3877,40315567094;3867,13904925799;3718,75404619886;4065,02294256245;3943,41046493977;4010,09386439725;4025,07672622523;3845,59011318881;3959,02434880963;4013,62823338648;3888,07626706225;3684,10146660648;3858,71907453305;3724,46597147495;3552,21372529955;3879,89098749063;4002,37717242431;3805,4914156404;3890,49604627052;3645,57036402776;3884,74838984283;3791,18047559711;3798,52287721996;3919,15321593549;2860,04769408268;4096,31175753536;3988,03164012891;4009,23482549881;4150,9959539646;4023,50426126555;3741,70740314422;2645,53542773459;3917,50652721571;4011,0371302085;3962,09809987766;3818,1865283009;3515,60654160935;3885,42543715364;3912,52089753234;3966,86625870068;3874,6023410824;4074,43681909137;3991,42539133268;2653,77540874392;3926,61215119073;3936,78811674962;3918,98606902958;3812,86402392046;3722,95546966472;3802,90008400066;4245,63858975447;3773,60802223264;4078,92801263177;4102,99608032329;3947,15399229204;3094,81935425672;4075,3225104657;3959,08227936359;3926,37709980833;3598,22206680559;3574,12429423302;3856,0912505717;3761,2103936547;3769,28965029312;3846,72630359283;3788,43907357951;3753,22116595386;2951,48674637208;3939,88673381268;3835,15087370552;3434,72077802649
;57,5;3602,12383161673;3847,9999048767;3692,60684058054;3837,42305109725;3781,41249866959;3788,03393084374;3878,47620831697;3838,48247513613;3831,00235830002;3766,54725427117;3682,54838311934;3716,93855897656;3716,23798662744;3824,15624097826;3859,66298556111;3862,6361613939;3874,63079315687;3959,88478050414;3931,82954402737;3858,89950489337;3920,31752507017;3747,59510026982;3905,15247356628;3737,77643173051;3768,62222562324;3875,58016903483;3863,19391276129;3720,99015536335;4062,16257645179;3939,2472846009;4008,77821654056;4022,14481921848;3843,97667016207;3953,53524030722;4009,09734943556;3884,02308714126;3681,57573481922;3855,46118502373;3721,15282917069;3556,66015523969;3876,50764549616;3998,38575218218;3803,26765106522;3887,84745926275;3646,32117736082;3881,31655928848;3788,09142802631;3794,14267091421;3916,71986868139;2868,03641737346;4100,4006006538;3987,78703118992;4015,54366484941;4149,58186158;4021,02967672443;3750,45599542858;2640,53807213991;3919,03002935679;4009,21251124637;3958,95926105521;3816,35149842528;3522,34752918811;3886,07513941689;3911,58794959148;3970,64537341626;3870,77906187991;4071,43275217778;3993,74819125401;2650,26559882417;3926,02379254977;3937,07706819054;3915,65746583169;3809,13716034674;3723,94039105105;3801,25442292352;4244,25756202653;3771,17583517794;4074,60814980977;4096,6253055617;3942,82624477904;3099,45313226816;4070,14537304731;3953,49324513107;3922,24255115031;3596,13522394795;3575,41213417972;3853,77745613965;3757,04355531559;3766,14787628164;3844,04667907311;3785,91534635662;3750,62470740929;2954,99929062008;3935,96385916901;3831,13873810821;3433,78604858365
;58;3605,05571256223;3846,05997289274;3690,66659856524;3838,33511011878;3781,2401232087;3789,38076219321;3879,23946893804;3839,83555907002;3832,26090800691;3765,1922408326;3680,11348454708;3714,98381194091;3716,39081403684;3825,60563087026;3859,44607541978;3865,11552088264;3875,67899256126;3960,6251034387;3931,55450320548;3860,38641251405;3923,75926958005;3744,28222367209;3902,58729251132;3736,02804358649;3765,27950350951;3873,75718239868;3859,2487762646;3723,22626452788;4059,30221034111;3935,08410426206;4007,46256868387;4019,21291221171;3842,36322713534;3948,04613180481;4004,56646548459;3879,96990722024;3679,05000303201;3852,20329551439;3717,8396868664;3561,10658517985;3873,1243035017;3994,39433194007;3801,04388649008;3885,19887225494;3647,07199069392;3877,88472873412;3785,00238045553;3789,76246460843;3914,28652142733;2876,02514066428;4104,48944377223;3987,5424222509;4021,85250419994;4148,16776919539;4018,55509218326;3759,20458771297;2635,54071654527;3920,55353149789;4007,3878922842;3955,82042223274;3814,51646854964;3529,08851676684;3886,72484168012;3910,65500165061;3974,42448813186;3866,9557826774;4068,4286852642;3996,07099117534;2646,75578890441;3925,43543390881;3937,36601963146;3912,32886263382;3805,41029677305;3724,92531243739;3799,60876184635;4242,8765342986;3768,74364812321;4070,28828698778;4090,25453080014;3938,49849726606;3104,08691027959;4064,96823562891;3947,90421089858;3918,10800249232;3594,0483810903;3576,69997412645;3851,46366170759;3752,87671697651;3763,00610227015;3841,3670545534;3783,39161913369;3748,02824886468;2958,5118348681;3932,04098452537;3827,1266025109;3432,8513191408
;58,5;3606,44867548889;3842,51601336421;3687,01245877967;3838,13249466794;3779,77543596973;3789,17866878665;3878,47014302759;3839,38635515618;3831,737153003;3762,67475335524;3676,68705008122;3711,89770863478;3714,71879861505;3825,9308570695;3857,52679753843;3865,46560065504;3875,17885809527;3958,99220844862;3929,65754465727;3860,22824665068;3925,11420407076;3739,45101589998;3897,88454674792;3733,49940534439;3760,95523468011;3870,54305638867;3853,94830584122;3723,67639814751;4054,59123854133;3929,35793264112;4004,42765940239;4014,24380371276;3839,06848031228;3941,42459018445;3998,03052127613;3874,25965765207;3675,22885064293;3847,26561602103;3713,10707640439;3563,28342388154;3868,86554578618;3988,61440941283;3796,84394490494;3880,68291386152;3645,98217985654;3873,64746370109;3781,76551962244;3784,30082283828;3910,17925871513;2883,67144527032;4106,7612295875;3985,21531796491;4025,88159775708;4145,18840918093;4014,59417089656;3765,24654370144;2630,54982319817;3920,27368168821;4004,76978200209;3951,12963837907;3811,72873859629;3533,901025757;3885,71051056081;3908,19419452272;3976,16999129742;3861,87967141252;4063,75750577114;3996,62507141035;2642,84498152262;3923,57683386587;3935,6692478068;3907,38626201287;3800,38175384539;3723,85089242386;3796,82276078192;4239,44132756521;3765,16477408355;4063,92859919153;4082,11578930415;3932,5073503424;3106,16669626441;4058,41681306915;3941,07293394747;3912,64648069426;3591,12085860319;3576,18184997435;3847,43865285029;3747,36295225818;3758,01388329481;3837,7248030759;3779,09619886136;3743,785235727;2959,96567772471;3926,72596867204;3821,62037270306;3430,75627525689
;59;3606,5432656772;3838,03282499734;3682,61312223705;3836,78034388309;3777,32522814043;3787,8827013467;3876,62854111723;3837,59204239416;3829,96870850877;3759,03404289172;3672,85075736908;3708,05687699454;3712,27097437409;3825,36884396794;3854,60517568754;3864,18616392779;3873,98965468993;3955,67724679345;3926,48116470212;3858,93622989;3924,69033030758;3733,7352560412;3892,2090259105;3730,27967938664;3755,88157362302;3866,16464691635;3847,8984420331;3722,72671327431;4048,43698788358;3923,19933795783;4000,24374078626;4007,97436812703;3834,11118498087;3934,48156438957;3991,20460579461;3867,7505736729;3670,65725256019;3841,58484132484;3707,65552487284;3564,02417095341;3863,98089617358;3982,07294978124;3791,69898281623;3875,2945191394;3643,49156988366;3868,61139521055;3778,44738204729;3778,19973231566;3905,00240056488;2891,22002236497;4107,62310601012;3981,60719678354;4028,25369597534;4141,74029138271;4009,63253533134;3769,62989060255;2625,37210972382;3918,66655249397;4001,2775824734;3945,55220019224;3808,29247340152;3536,92673024975;3883,53665969299;3904,90714895775;3976,8452495426;3856,25604556952;4058,35585772739;3996,01584034771;2638,49341146513;3921,09646483334;3932,9164967291;3901,23373457404;3794,68111342992;3721,36413285117;3792,86941448506;4234,85343353581;3761,07724639945;4056,4288864232;4073,61192862243;3925,64224404313;3107,28198595117;4050,57241518034;3933,54377779449;3906,42236745278;3587,53700916644;3574,30179748648;3842,5553687988;3741,2659704505;3752,20762975347;3833,24591230575;3773,72434740738;3738,71234036092;2959,539337204;3920,77144197292;3814,78918400797;3427,58691742954
;59,5;3605,89406979694;3832,86910532882;3677,39970532218;3834,3700869078;3773,97683249132;3785,85247845541;3873,8187725666;3834,71808427074;3826,98392844518;3754,54561838771;3668,80492731422;3702,95981508599;3709,13468684321;3824,05361822508;3850,89566919772;3861,68303988823;3871,44588543171;3951,22063348384;3922,54684847875;3856,56560779945;3923,12264494241;3727,40305136094;3885,55222695224;3726,39882872448;3750,45433285381;3860,91846161781;3841,34936136009;3720,59165794406;4041,07961960965;3916,76917002531;3995,56737582243;4000,53496279803;3828,56316594595;3927,22492154262;3983,80427935796;3860,47211060752;3665,54329956701;3835,25292068886;3701,81986955936;3563,14753426855;3858,40565884699;3974,65852981935;3785,70940001857;3869,20401045713;3640,0280356069;3863,35632561088;3774,72356518173;3771,13953850422;3899,41564836274;2898,28815469531;4107,27339465377;3976,59199011171;4029,5391464992;4137,56366980358;4003,91088564514;3772,95182923744;2620,37289497027;3916,12434794154;3997,00804910279;3939,24478218708;3804,07885871727;3538,69609134009;3880,46450807006;3900,81756398025;3976,54328541244;3850,09168376132;4051,78479666412;3994,37159051736;2634,32723177058;3917,98586786166;3929,12089499343;3894,48058194175;3788,28989582555;3718,06952452324;3788,37845337506;4229,2873684768;3756,60559401588;4048,10673343769;4064,59786378928;3917,92312327936;3107,40645909163;4041,64320087831;3925,49174316828;3899,71645650774;3583,46702343313;3572,07916479449;3837,15650715142;3734,37282361238;3745,47377331052;3828,366056319;3768,04198121846;3732,60245946866;2957,94887571976;3914,18150712538;3806,75918993309;3423,90524211862
