;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;21,5804854326847;21,5804854326847;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;17,156575346564;17,156575346564;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;16,5828684254868;16,5828684254868;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;18,0762423591999;18,0762423591999;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;16,5646106225471;16,5646106225471;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;17,911901774279;17,911901774279;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;15,0671987818959;15,0671987818959;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;17,205008782127;17,205008782127;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;17,1855738587731;17,1855738587731;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;15,6248223084942;15,6248223084942;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;16,2737611842848;16,2737611842848;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;16,5404910059824;16,5404910059824;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;19,0723593902141;19,0723593902141;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;16,9957184970129;16,9957184970129;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;17,0195542111879;17,0195542111879;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;21,9738313961222;21,9738313961222;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;16,8773125957913;16,8773125957913;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;17,4815370178483;17,4815370178483;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;14,5197755849688;14,5197755849688;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;17,7627644462899;17,7627644462899;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;18,6085643817904;18,6085643817904;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;15,7277972356832;15,7277972356832;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;15,7064531380339;15,7064531380339;0;NaN;NaN;NaN;0;72;
