;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Cq;21,5804854326847;17,156575346564;16,5828684254868;18,0762423591999;16,5646106225471;17,911901774279;15,0671987818959;17,205008782127;17,1855738587731;15,6248223084942;16,2737611842848;16,5404910059824
A;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Cq;19,0723593902141;16,9957184970129;17,0195542111879;21,9738313961222;16,8773125957913;17,4815370178483;14,5197755849688;17,7627644462899;18,6085643817904;15,7277972356832;15,7064531380339;15,7586111432196
B;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Cq;21,2667738363977;20,1559844494143;21,2596247739272;26,3214298282125;20,2889242879986;20,6718290947856;18,9297704653472;20,108474887114;22,1191629261183;19,076223874384;19,674691804557;20,1393003532891
C;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Cq;21,3806242859417;20,46239761368;21,0165887614685;27,9577586040205;20,4762992831723;21,112772166267;19,3318541307748;20,5058158834101;24,2431369463949;19,0215343199658;20,0406962076493;20,1616940632934
D;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
E;Sample;;;;;;;;;;;;
E;Cq;16,1756933900921;38,2515744387104;16,1037862925859;15,7679076366068;20,2826815576124;15,5842437107082;15,2069076470597;24,3558499099533;NaN;15,2272583467361;17,9771886484751;14,8857116457036
E;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
F;Sample;;;;;;;;;;;;
F;Cq;16,6820314974715;26,436833269296;16,0769831187694;16,2143378739451;17,5264604680654;15,7881576362165;14,9627784433925;16,960017620425;NaN;15,2644561770812;17,7815783873897;15,1863544664413
F;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
G;Sample;;;;;;;;;;;;
G;Cq;20,4227644212969;25,8473654779556;20,6373040041397;19,5261832964906;21,8566679138427;20,3211419431734;19,174659833758;20,0783928566714;NaN;19,4830024210932;20,4040841364653;19,6032788222024
G;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
H;Sample;;;;;;;;;;;;
H;Cq;21,1920170948317;25,4976948284647;20,3018527178971;20,2674265573576;21,9988574443074;20,3257071727381;19,5520948736763;21,6077750510769;NaN;19,3174414222707;20,4839888310667;20,2452879169313
H;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
