;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;;Unkn;;21,5804854326847;NaN
;A02;SYBR;;Unkn;;17,156575346564;NaN
;A03;SYBR;;Unkn;;16,5828684254868;NaN
;A04;SYBR;;Unkn;;18,0762423591999;NaN
;A05;SYBR;;Unkn;;16,5646106225471;NaN
;A06;SYBR;;Unkn;;17,911901774279;NaN
;A07;SYBR;;Unkn;;15,0671987818959;NaN
;A08;SYBR;;Unkn;;17,205008782127;NaN
;A09;SYBR;;Unkn;;17,1855738587731;NaN
;A10;SYBR;;Unkn;;15,6248223084942;NaN
;A11;SYBR;;Unkn;;16,2737611842848;NaN
;A12;SYBR;;Unkn;;16,5404910059824;NaN
;B01;SYBR;;Unkn;;19,0723593902141;NaN
;B02;SYBR;;Unkn;;16,9957184970129;NaN
;B03;SYBR;;Unkn;;17,0195542111879;NaN
;B04;SYBR;;Unkn;;21,9738313961222;NaN
;B05;SYBR;;Unkn;;16,8773125957913;NaN
;B06;SYBR;;Unkn;;17,4815370178483;NaN
;B07;SYBR;;Unkn;;14,5197755849688;NaN
;B08;SYBR;;Unkn;;17,7627644462899;NaN
;B09;SYBR;;Unkn;;18,6085643817904;NaN
;B10;SYBR;;Unkn;;15,7277972356832;NaN
;B11;SYBR;;Unkn;;15,7064531380339;NaN
;B12;SYBR;;Unkn;;15,7586111432196;NaN
;C01;SYBR;;Unkn;;21,2667738363977;NaN
;C02;SYBR;;Unkn;;20,1559844494143;NaN
;C03;SYBR;;Unkn;;21,2596247739272;NaN
;C04;SYBR;;Unkn;;26,3214298282125;NaN
;C05;SYBR;;Unkn;;20,2889242879986;NaN
;C06;SYBR;;Unkn;;20,6718290947856;NaN
;C07;SYBR;;Unkn;;18,9297704653472;NaN
;C08;SYBR;;Unkn;;20,108474887114;NaN
;C09;SYBR;;Unkn;;22,1191629261183;NaN
;C10;SYBR;;Unkn;;19,076223874384;NaN
;C11;SYBR;;Unkn;;19,674691804557;NaN
;C12;SYBR;;Unkn;;20,1393003532891;NaN
;D01;SYBR;;Unkn;;21,3806242859417;NaN
;D02;SYBR;;Unkn;;20,46239761368;NaN
;D03;SYBR;;Unkn;;21,0165887614685;NaN
;D04;SYBR;;Unkn;;27,9577586040205;NaN
;D05;SYBR;;Unkn;;20,4762992831723;NaN
;D06;SYBR;;Unkn;;21,112772166267;NaN
;D07;SYBR;;Unkn;;19,3318541307748;NaN
;D08;SYBR;;Unkn;;20,5058158834101;NaN
;D09;SYBR;;Unkn;;24,2431369463949;NaN
;D10;SYBR;;Unkn;;19,0215343199658;NaN
;D11;SYBR;;Unkn;;20,0406962076493;NaN
;D12;SYBR;;Unkn;;20,1616940632934;NaN
;E01;SYBR;;Unkn;;16,1756933900921;NaN
;E02;SYBR;;Unkn;;38,2515744387104;NaN
;E03;SYBR;;Unkn;;16,1037862925859;NaN
;E04;SYBR;;Unkn;;15,7679076366068;NaN
;E05;SYBR;;Unkn;;20,2826815576124;NaN
;E06;SYBR;;Unkn;;15,5842437107082;NaN
;E07;SYBR;;Unkn;;15,2069076470597;NaN
;E08;SYBR;;Unkn;;24,3558499099533;NaN
;E09;SYBR;;Unkn;;NaN;NaN
;E10;SYBR;;Unkn;;15,2272583467361;NaN
;E11;SYBR;;Unkn;;17,9771886484751;NaN
;E12;SYBR;;Unkn;;14,8857116457036;NaN
;F01;SYBR;;Unkn;;16,6820314974715;NaN
;F02;SYBR;;Unkn;;26,436833269296;NaN
;F03;SYBR;;Unkn;;16,0769831187694;NaN
;F04;SYBR;;Unkn;;16,2143378739451;NaN
;F05;SYBR;;Unkn;;17,5264604680654;NaN
;F06;SYBR;;Unkn;;15,7881576362165;NaN
;F07;SYBR;;Unkn;;14,9627784433925;NaN
;F08;SYBR;;Unkn;;16,960017620425;NaN
;F09;SYBR;;Unkn;;NaN;NaN
;F10;SYBR;;Unkn;;15,2644561770812;NaN
;F11;SYBR;;Unkn;;17,7815783873897;NaN
;F12;SYBR;;Unkn;;15,1863544664413;NaN
;G01;SYBR;;Unkn;;20,4227644212969;NaN
;G02;SYBR;;Unkn;;25,8473654779556;NaN
;G03;SYBR;;Unkn;;20,6373040041397;NaN
;G04;SYBR;;Unkn;;19,5261832964906;NaN
;G05;SYBR;;Unkn;;21,8566679138427;NaN
;G06;SYBR;;Unkn;;20,3211419431734;NaN
;G07;SYBR;;Unkn;;19,174659833758;NaN
;G08;SYBR;;Unkn;;20,0783928566714;NaN
;G09;SYBR;;Unkn;;NaN;NaN
;G10;SYBR;;Unkn;;19,4830024210932;NaN
;G11;SYBR;;Unkn;;20,4040841364653;NaN
;G12;SYBR;;Unkn;;19,6032788222024;NaN
;H01;SYBR;;Unkn;;21,1920170948317;NaN
;H02;SYBR;;Unkn;;25,4976948284647;NaN
;H03;SYBR;;Unkn;;20,3018527178971;NaN
;H04;SYBR;;Unkn;;20,2674265573576;NaN
;H05;SYBR;;Unkn;;21,9988574443074;NaN
;H06;SYBR;;Unkn;;20,3257071727381;NaN
;H07;SYBR;;Unkn;;19,5520948736763;NaN
;H08;SYBR;;Unkn;;21,6077750510769;NaN
;H09;SYBR;;Unkn;;NaN;NaN
;H10;SYBR;;Unkn;;19,3174414222707;NaN
;H11;SYBR;;Unkn;;20,4839888310667;NaN
;H12;SYBR;;Unkn;;20,2452879169313;NaN
