;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;;Unkn;;386,512400992914;;Unknown;Unassigned;False
;A02;SYBR;;Unkn;;513,735096074482;;Unknown;Unassigned;False
;A03;SYBR;;Unkn;;473,329859121543;;Unknown;Unassigned;False
;A04;SYBR;;Unkn;;400,146860365449;;Unknown;Unassigned;False
;A05;SYBR;;Unkn;;91,180879443176;;Unknown;Unassigned;False
;A06;SYBR;;Unkn;;372,382956096884;;Unknown;Unassigned;False
;A07;SYBR;;Unkn;;353,726847726362;;Unknown;Unassigned;False
;A08;SYBR;;Unkn;;447,80128018278;;Unknown;Unassigned;False
;A09;SYBR;;Unkn;;447,287874870472;;Unknown;Unassigned;False
;A10;SYBR;;Unkn;;502,469810321316;;Unknown;Unassigned;False
;A11;SYBR;;Unkn;;535,08460566595;;Unknown;Unassigned;False
;A12;SYBR;;Unkn;;286,396717068556;;Unknown;Unassigned;False
;B01;SYBR;;Unkn;;461,390141519034;;Unknown;Unassigned;False
;B02;SYBR;;Unkn;;568,009665464161;;Unknown;Unassigned;False
;B03;SYBR;;Unkn;;491,96521386512;;Unknown;Unassigned;False
;B04;SYBR;;Unkn;;431,761864671618;;Unknown;Unassigned;False
;B05;SYBR;;Unkn;;396,283336055261;;Unknown;Unassigned;False
;B06;SYBR;;Unkn;;28,8221661798458;;Unknown;Unassigned;False
;B07;SYBR;;Unkn;;388,232869456839;;Unknown;Unassigned;False
;B08;SYBR;;Unkn;;453,557837194551;;Unknown;Unassigned;False
;B09;SYBR;;Unkn;;422,749142629865;;Unknown;Unassigned;False
;B10;SYBR;;Unkn;;565,905429528398;;Unknown;Unassigned;False
;B11;SYBR;;Unkn;;519,303379940636;;Unknown;Unassigned;False
;B12;SYBR;;Unkn;;302,191442796124;;Unknown;Unassigned;False
;C01;SYBR;;Unkn;;545,090709047027;;Unknown;Unassigned;False
;C02;SYBR;;Unkn;;507,365225993351;;Unknown;Unassigned;False
;C03;SYBR;;Unkn;;537,996818036615;;Unknown;Unassigned;False
;C04;SYBR;;Unkn;;549,77430314881;;Unknown;Unassigned;False
;C05;SYBR;;Unkn;;558,168885279537;;Unknown;Unassigned;False
;C06;SYBR;;Unkn;;392,101167558186;;Unknown;Unassigned;False
;C07;SYBR;;Unkn;;738,909873919217;;Unknown;Unassigned;False
;C08;SYBR;;Unkn;;646,602803081835;;Unknown;Unassigned;False
;C09;SYBR;;Unkn;;632,147515005587;;Unknown;Unassigned;False
;C10;SYBR;;Unkn;;497,596158245009;;Unknown;Unassigned;False
;C11;SYBR;;Unkn;;450,406350838874;;Unknown;Unassigned;False
;C12;SYBR;;Unkn;;537,875088794152;;Unknown;Unassigned;False
;D01;SYBR;;Unkn;;411,649645769608;;Unknown;Unassigned;False
;D02;SYBR;;Unkn;;468,902243510609;;Unknown;Unassigned;False
;D03;SYBR;;Unkn;;296,091517829767;;Unknown;Unassigned;False
;D04;SYBR;;Unkn;;622,570826076686;;Unknown;Unassigned;False
;D05;SYBR;;Unkn;;583,419571888833;;Unknown;Unassigned;False
;D06;SYBR;;Unkn;;630,16433718868;;Unknown;Unassigned;False
;D07;SYBR;;Unkn;;569,37783726604;;Unknown;Unassigned;False
;D08;SYBR;;Unkn;;605,56228870827;;Unknown;Unassigned;False
;D09;SYBR;;Unkn;;596,285958881875;;Unknown;Unassigned;False
;D10;SYBR;;Unkn;;588,798484257666;;Unknown;Unassigned;False
;D11;SYBR;;Unkn;;459,229150269437;;Unknown;Unassigned;False
;D12;SYBR;;Unkn;;562,392559841045;;Unknown;Unassigned;False
;E01;SYBR;;Unkn;;409,984007038839;;Unknown;Unassigned;False
;E02;SYBR;;Unkn;;491,696813387808;;Unknown;Unassigned;False
;E03;SYBR;;Unkn;;540,324559940723;;Unknown;Unassigned;False
;E04;SYBR;;Unkn;;539,223924142793;;Unknown;Unassigned;False
;E05;SYBR;;Unkn;;201,639368937798;;Unknown;Unassigned;False
;E06;SYBR;;Unkn;;279,807718110157;;Unknown;Unassigned;False
;F01;SYBR;;Unkn;;349,45373908704;;Unknown;Unassigned;False
;F02;SYBR;;Unkn;;390,810668261391;;Unknown;Unassigned;False
;F03;SYBR;;Unkn;;403,51136419979;;Unknown;Unassigned;False
;F04;SYBR;;Unkn;;331,351275858156;;Unknown;Unassigned;False
;F05;SYBR;;Unkn;;39,8396631866372;;Unknown;Unassigned;False
;F06;SYBR;;Unkn;;443,595039257891;;Unknown;Unassigned;False
;G01;SYBR;;Unkn;;411,94135916274;;Unknown;Unassigned;False
;G02;SYBR;;Unkn;;654,457693188937;;Unknown;Unassigned;False
;G03;SYBR;;Unkn;;649,638362223173;;Unknown;Unassigned;False
;G04;SYBR;;Unkn;;628,795604225801;;Unknown;Unassigned;False
;G05;SYBR;;Unkn;;538,155343126833;;Unknown;Unassigned;False
;G06;SYBR;;Unkn;;560,491967997817;;Unknown;Unassigned;False
;H01;SYBR;;Unkn;;455,686454821468;;Unknown;Unassigned;False
;H02;SYBR;;Unkn;;545,648789502988;;Unknown;Unassigned;False
;H03;SYBR;;Unkn;;549,901042018439;;Unknown;Unassigned;False
;H04;SYBR;;Unkn;;415,521513305231;;Unknown;Unassigned;False
;H05;SYBR;;Unkn;;612,032549192307;;Unknown;Unassigned;False
;H06;SYBR;;Unkn;;532,626591250079;;Unknown;Unassigned;False
