;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Peak 1;89;89;89;88,5;None;79,5;82;85;85;85,5;87,5;84
A;Peak 2;None;None;None;None;None;None;None;None;None;80;85,5;None
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Peak 1;89;89;89;88,5;84;None;83,5;85;85;85;88;None
B;Peak 2;None;None;None;None;None;None;None;80;80;80;85;None
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Peak 1;81;81;80,5;80,5;80,5;80,5;81;81;81;80,5;81;81
C;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Peak 1;81;81;80,5;81;81;81;80,5;81;81;80,5;81;81
D;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
E;Sample;;;;;;;;;;;;
E;Peak 1;83;88,5;88,5;88,5;81,5;83,5;;;;;;
E;Peak 2;None;84,5;84,5;85;None;None;;;;;;
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
F;Sample;;;;;;;;;;;;
F;Peak 1;88,5;88,5;88,5;None;None;88,5;;;;;;
F;Peak 2;None;None;None;None;None;84,5;;;;;;
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
G;Sample;;;;;;;;;;;;
G;Peak 1;80,5;81;80,5;80,5;80,5;81;;;;;;
G;Peak 2;None;None;None;None;None;None;;;;;;
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
H;Sample;;;;;;;;;;;;
H;Peak 1;81;81;81;80,5;81;81;;;;;;
H;Peak 2;None;None;None;None;None;None;;;;;;
