;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;F1;F2;F3;F4;F5;F6;G1;G2;G3;G4;G5;G6;H1;H2;H3;H4;H5;H6
;55;3283,5268298807;3479,19170300454;3478,10123233712;3395,45208326962;2986,08211192662;3487,87213128281;3462,40807924416;3516,67530890242;3552,49218024925;3592,66932735026;3601,10782014894;3310,09606536214;3394,7603470527;3619,46031689424;3479,57259764858;3433,13374145083;3447,11982830039;2920,28286638095;3459,79602924259;3499,00533125057;3473,74847588546;3691,52610671107;3559,57244359222;3302,0605902884;3611,59756746081;3575,72814059833;3659,54469762021;3639,15873726925;3648,19754191084;3354,59308052196;3946,51823101767;3796,45869038461;3780,36201545521;3572,40580244744;3658,48335423857;3742,87568779718;3376,08095751623;3496,33033137545;3194,91825891221;3705,02866114464;3661,99517497758;3738,42945877106;3789,2005148795;3725,60112704373;3674,93870000367;3700,83803654382;3532,7530452855;3726,01357876485;3488,06114524426;3517,03196234284;3565,23442232055;3616,9098280155;3207,42614967752;3232,37453474518;3297,91439982288;3346,94535123463;3378,11630536069;3411,9999381635;2961,68322924193;3486,97069017764;3365,09651110822;3819,67450342973;3849,60915552745;3765,22319619309;3611,00246070142;3686,05511647574;3481,63149960975;3623,49517982925;3652,6909074012;3465,26868245715;3764,19968892735;3607,14697370172
;55,5;3284,23618072203;3482,5854610101;3478,86781533479;3400,93686674537;3007,17720612568;3496,55129872719;3468,92184524067;3521,42747287898;3558,26318539913;3595,65484017745;3603,61709607653;3316,96691172579;3395,30701652634;3621,99725182467;3480,33809030057;3439,27242293034;3455,79893272948;2925,48295560534;3468,21211320226;3503,26470403364;3478,88269969609;3695,68433993368;3562,55478311475;3308,8153008094;3610,77410540989;3574,46238019894;3657,7082692276;3637,20742558061;3644,74060754163;3354,31450973803;3943,55780889384;3793,51680008485;3777,48491336946;3571,29942030259;3657,31555143507;3740,84374103418;3375,01305368534;3496,43116835639;3195,36691900406;3705,81521607734;3659,43962058124;3736,62672624822;3789,51556123497;3721,3258382859;3674,26960517908;3698,10221233217;3531,80646461477;3723,95295919466;3491,64613499453;3525,52473595977;3571,72641199846;3626,69821463384;3231,2352652617;3244,96278491435;3303,673647537;3352,94163630654;3382,97455323495;3417,86404102694;2967,68763399622;3498,41744424272;3365,52896076608;3817,49351985979;3850,20803311908;3764,12457834157;3609,84730275395;3684,75027365113;3479,78389634082;3622,92432534275;3650,84664094177;3464,1299082209;3763,14786440997;3606,61163339762
;56;3284,94553156337;3485,97921901567;3479,63439833245;3406,42165022111;3028,27230032473;3505,23046617156;3475,43561123719;3526,17963685554;3564,03419054901;3598,64035300464;3606,12637200413;3323,83775808944;3395,85368599997;3624,5341867551;3481,10358295256;3445,41110440985;3464,47803715857;2930,68304482973;3476,62819716193;3507,52407681671;3484,01692350672;3699,84257315628;3565,53712263728;3315,5700113304;3609,95064335897;3573,19661979956;3655,87184083499;3635,25611389196;3641,28367317242;3354,0359389541;3940,59738677001;3790,57490978509;3774,60781128371;3570,19303815773;3656,14774863157;3738,81179427119;3373,94514985446;3496,53200533732;3195,8155790959;3706,60177101005;3656,8840661849;3734,82399372538;3789,83060759043;3717,05054952806;3673,60051035448;3695,36638812052;3530,85988394404;3721,89233962447;3495,2311247448;3534,01750957671;3578,21840167638;3636,48660125217;3255,04438084589;3257,55103508353;3309,43289525113;3358,93792137845;3387,8328011092;3423,72814389037;2973,69203875051;3509,86419830781;3365,96141042393;3815,31253628986;3850,80691071072;3763,02596049005;3608,69214480648;3683,44543082652;3477,93629307189;3622,35347085624;3649,00237448235;3462,99113398465;3762,09603989258;3606,07629309352
;56,5;3285,6548824047;3489,37297702123;3480,40098133011;3411,90643369686;3049,36739452378;3513,90963361594;3481,94937723371;3530,93180083211;3569,8051956989;3601,62586583183;3608,63564793173;3330,7086044531;3396,40035547361;3627,07112168554;3481,86907560456;3451,54978588935;3473,15714158766;2935,88313405412;3485,0442811216;3511,78344959977;3489,15114731734;3704,00080637889;3568,51946215981;3322,32472185141;3609,12718130805;3571,93085940017;3654,03541244238;3633,30480220332;3637,82673880322;3353,75736817017;3937,63696464618;3787,63301948533;3771,73070919796;3569,08665601288;3654,97994582807;3736,7798475082;3372,87724602357;3496,63284231826;3196,26423918775;3707,38832594276;3654,32851178856;3733,02126120253;3790,1456539459;3712,77526077023;3672,93141552989;3692,63056390887;3529,91330327331;3719,83172005428;3498,81611449507;3542,51028319365;3584,7103913543;3646,27498787051;3278,85349643007;3270,13928525271;3315,19214296525;3364,93420645036;3392,69104898345;3429,59224675381;2979,69644350479;3521,31095237289;3366,39386008178;3813,13155271993;3851,40578830235;3761,92734263853;3607,53698685902;3682,14058800191;3476,08868980296;3621,78261636973;3647,15810802292;3461,8523597484;3761,0442153752;3605,54095278943
;57;3286,36423324603;3492,76673502679;3481,16756432777;3417,39121717261;3070,46248872283;3522,58880106031;3488,46314323022;3535,68396480867;3575,57620084878;3604,61137865902;3611,14492385933;3337,57945081675;3396,94702494725;3629,60805661597;3482,63456825655;3457,68846736886;3481,83624601676;2941,08322327851;3493,46036508128;3516,04282238284;3494,28537112797;3708,1590396015;3571,50180168235;3329,07943237241;3608,30371925713;3570,66509900078;3652,19898404977;3631,35349051468;3634,36980443401;3353,47879738623;3934,67654252235;3784,69112918557;3768,85360711221;3567,98027386802;3653,81214302457;3734,74790074521;3371,80934219269;3496,73367929919;3196,7128992796;3708,17488087547;3651,77295739222;3731,21852867969;3790,46070030136;3708,49997201239;3672,2623207053;3689,89473969722;3528,96672260257;3717,77110048409;3502,40110424534;3551,00305681059;3591,20238103221;3656,06337448885;3302,66261201425;3282,72753542188;3320,95139067938;3370,93049152227;3397,54929685771;3435,45634961725;2985,70084825908;3532,75770643797;3366,82630973963;3810,95056914999;3852,00466589399;3760,82872478701;3606,38182891155;3680,8357451773;3474,24108653403;3621,21176188322;3645,3138415635;3460,71358551215;3759,99239085782;3605,00561248533
;57,5;3287,07358408737;3496,16049303234;3481,93414732544;3422,87600064831;3091,55758292186;3531,26796850471;3494,97690922673;3540,43612878522;3581,34720599866;3607,59689148615;3613,65419978689;3344,45029718038;3397,49369442092;3632,14499154645;3483,4000609085;3463,82714884841;3490,51535044582;2946,28331250293;3501,87644904092;3520,30219516595;3499,41959493857;3712,31727282416;3574,48414120488;3335,83414289342;3607,48025720621;3569,3993386014;3650,36255565717;3629,40217882605;3630,9128700648;3353,20022660231;3931,7161203985;3781,74923888585;3765,97650502643;3566,87389172317;3652,64434022108;3732,71595398227;3370,7414383618;3496,83451628012;3197,16155937147;3708,96143580812;3649,2174029959;3729,41579615688;3790,77574665684;3704,22468325455;3671,59322588068;3687,1589154856;3528,02014193185;3715,71048091391;3505,98609399558;3559,49583042749;3597,69437071015;3665,8517611072;3326,47172759845;3295,31578559101;3326,71063839351;3376,92677659416;3402,40754473196;3441,32045248068;2991,70525301337;3544,20446050303;3367,2587593975;3808,7695855801;3852,60354348561;3759,73010693549;3605,2266709641;3679,53090235267;3472,3934832651;3620,6409073967;3643,4695751041;3459,57481127591;3758,94056634043;3604,47027218124
;58;3287,78293492871;3499,55425103791;3482,7007303231;3428,36078412406;3112,65267712092;3539,94713594908;3501,49067522324;3545,18829276179;3587,11821114854;3610,58240431334;3616,16347571449;3351,32114354404;3398,04036389456;3634,68192647689;3484,16555356049;3469,96583032792;3499,19445487491;2951,48340172732;3510,29253300059;3524,56156794902;3504,5538187492;3716,47550604677;3577,46648072741;3342,58885341442;3606,65679515529;3568,13357820202;3648,52612726456;3627,45086713741;3627,45593569559;3352,92165581838;3928,75569827467;3778,80734858609;3763,09940294067;3565,76750957831;3651,47653741758;3730,68400721927;3369,67353453091;3496,93535326106;3197,61021946331;3709,74799074083;3646,66184859956;3727,61306363404;3791,09079301231;3699,94939449671;3670,92413105608;3684,42309127395;3527,07356126112;3713,64986134372;3509,57108374585;3567,98860404443;3604,18636038806;3675,64014772554;3350,28084318263;3307,90403576019;3332,46988610764;3382,92306166606;3407,26579260622;3447,18455534412;2997,70965776766;3555,65121456812;3367,69120905535;3806,58860201016;3853,20242107725;3758,63148908397;3604,07151301663;3678,22605952806;3470,54587999617;3620,07005291019;3641,62530864467;3458,43603703966;3757,88874182305;3603,93493187714
;58,5;3287,68534945662;3501,72938954067;3482,29813336103;3432,30569298072;3130,90861700312;3546,59428634835;3506,2857349996;3548,42420280584;3591,1863360423;3612,15057865207;3617,38627636142;3356,72351625191;3398,15381441792;3635,87987688985;3483,63829282477;3474,2644819112;3505,59346529502;2953,3584404983;3516,66667466082;3526,78692085084;3507,67925634614;3719,34044634621;3578,4242879668;3346,83064852971;3604,6898793708;3565,88688760177;3645,37856075511;3624,11435350214;3623,19000689088;3351,42087438011;3924,65343553146;3774,50024753645;3758,80502860391;3563,45622706236;3648,78998601341;3727,35677856731;3367,72936213416;3495,9795407332;3196,90235126628;3709,71070904836;3643,33824601011;3725,05330891646;3790,75760993463;3694,86876350084;3669,58518771189;3681,13534911891;3524,79749848218;3710,30702635961;3511,06164527677;3574,3683907734;3609,54317328288;3683,4590474292;3371,46993464351;3319,15303157151;3336,4936976273;3387,40204605951;3411,26073281033;3451,16339761098;3001,47194599925;3565,57999372711;3367,03808785252;3803,43403130261;3852,54842945991;3756,25066059193;3602,27811861093;3676,0501305733;3467,94708620321;3618,46830730678;3638,46414352083;3456,14069262389;3755,73925848768;3602,12154526476
;59;3287,27695826117;3503,04061647744;3481,31980074275;3434,7926063993;3146,21241303048;3552,23597082128;3509,67065331541;3550,65843511311;3594,49564458841;3612,93895191867;3618,02949593428;3360,91132239173;3397,75719998369;3635,99466178365;3482,06473378043;3477,44051466695;3510,18640491203;2952,43409839662;3521,91028743082;3527,90286894075;3510,09846078332;3720,91459774425;3578,03300617576;3350,25318715901;3602,54985550871;3563,0980826747;3641,54851263018;3620,21889991605;3618,24272016668;3349,4405085572;3920,05104639665;3769,62577137488;3754,29453460888;3560,50349787588;3644,94158179143;3724,26961871365;3365,28617943028;3494,31442614888;3195,40482444726;3708,77170667102;3639,4783070955;3721,84624744732;3790,37849345676;3689,36122883683;3667,18212112641;3677,38647305332;3521,66966893425;3705,9894421724;3511,78555985517;3579,32171704882;3613,91141536626;3690,01959314749;3390,33753847647;3329,21093314119;3339,66613367045;3390,53296736664;3414,33922415608;3453,95289375164;3003,51560326307;3574,47223729191;3365,83864864386;3799,45656044799;3850,99847538557;3753,04750930718;3599,85584979493;3672,96094499062;3464,84826525638;3616,3307575969;3635,0085377832;3453,11401488809;3753,22429262638;3600,31641788197
;59,5;3286,35798839134;3503,76437008322;3479,51907979694;3436,18055172138;3158,60030405422;3556,32126396012;3512,23150379245;3552,093317465;3596,99401821058;3612,82498484886;3618,10000839505;3364,63618102024;3397,42979774857;3635,12510131016;3480,05148422974;3479,81672192907;3513,48900005971;2949,7018397221;3526,43125009341;3528,23052117066;3512,25403331949;3721,23672691183;3577,25031802408;3353,29116483477;3599,81819235833;3559,88804755956;3637,70619601477;3616,17396787885;3612,96726605999;3346,70982336382;3914,49067129694;3764,31524432004;3749,33807544704;3557,14101567782;3640,18303126064;3721,43294129186;3362,86071709149;3492,01039316539;3193,16329119627;3707,42917609375;3634,81178847062;3718,17743273457;3790,18776133771;3683,63012128305;3664,21634264917;3673,4370579097;3518,21148902185;3701,0514057482;3511,7112445124;3583,29371070701;3617,49865513976;3695,17668043622;3406,27025543859;3338,91244015126;3342,35777583838;3392,78357503473;3416,61474061902;3456,24846374029;3003,97679725923;3582,28265772787;3364,05866555113;3794,93007778464;3848,66549636146;3749,13760652974;3596,84458658697;3669,14037100809;3461,49009750115;3614,08099582564;3631,54795079954;3450,32204342423;3749,84748896187;3597,81291132396
