;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;19,8034394951986;19,8034394951986;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;15,224650727272;15,224650727272;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;16,9554509466323;16,9554509466323;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;29,2369099329311;29,2369099329311;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;36,5689579363967;36,5689579363967;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;32,1655186764663;32,1655186764663;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;31,5875944259787;31,5875944259787;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;29,2200810739259;29,2200810739259;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;29,9264340781129;29,9264340781129;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;27,3484469023602;27,3484469023602;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;24,6478702812965;24,6478702812965;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;31,7042007088084;31,7042007088084;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;19,5288266348067;19,5288266348067;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;15,3800331334736;15,3800331334736;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;16,6862411610623;16,6862411610623;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;29,8926198810812;29,8926198810812;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;31,4509975037321;31,4509975037321;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;38,4003868354893;38,4003868354893;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;31,3997750345227;31,3997750345227;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;28,8897818997602;28,8897818997602;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;30,2920284100987;30,2920284100987;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;26,9177952823935;26,9177952823935;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;25,1501735990773;25,1501735990773;0;NaN;NaN;NaN;0;72;
;B12;SYBR;;Unkn;;;31,1843781300102;31,1843781300102;0;NaN;NaN;NaN;0;72;
;C01;SYBR;;Unkn;;;21,23506143758;21,23506143758;0;NaN;NaN;NaN;0;72;
;C02;SYBR;;Unkn;;;19,973447944717;19,973447944717;0;NaN;NaN;NaN;0;72;
;C03;SYBR;;Unkn;;;20,0367161155637;20,0367161155637;0;NaN;NaN;NaN;0;72;
;C04;SYBR;;Unkn;;;20,7491030222742;20,7491030222742;0;NaN;NaN;NaN;0;72;
;C05;SYBR;;Unkn;;;20,1074001085387;20,1074001085387;0;NaN;NaN;NaN;0;72;
;C06;SYBR;;Unkn;;;22,2867209678867;22,2867209678867;0;NaN;NaN;NaN;0;72;
;C07;SYBR;;Unkn;;;21,0372522698957;21,0372522698957;0;NaN;NaN;NaN;0;72;
;C08;SYBR;;Unkn;;;21,1531967362568;21,1531967362568;0;NaN;NaN;NaN;0;72;
;C09;SYBR;;Unkn;;;20,7387065009945;20,7387065009945;0;NaN;NaN;NaN;0;72;
;C10;SYBR;;Unkn;;;21,1091470251354;21,1091470251354;0;NaN;NaN;NaN;0;72;
;C11;SYBR;;Unkn;;;21,4705680008778;21,4705680008778;0;NaN;NaN;NaN;0;72;
;C12;SYBR;;Unkn;;;21,0546829199983;21,0546829199983;0;NaN;NaN;NaN;0;72;
;D01;SYBR;;Unkn;;;21,7635572377529;21,7635572377529;0;NaN;NaN;NaN;0;72;
;D02;SYBR;;Unkn;;;20,1140848453232;20,1140848453232;0;NaN;NaN;NaN;0;72;
;D03;SYBR;;Unkn;;;20,9657927938291;20,9657927938291;0;NaN;NaN;NaN;0;72;
;D04;SYBR;;Unkn;;;20,2949835242995;20,2949835242995;0;NaN;NaN;NaN;0;72;
;D05;SYBR;;Unkn;;;20,1869199742976;20,1869199742976;0;NaN;NaN;NaN;0;72;
;D06;SYBR;;Unkn;;;21,6580629232207;21,6580629232207;0;NaN;NaN;NaN;0;72;
;D07;SYBR;;Unkn;;;21,1830944004444;21,1830944004444;0;NaN;NaN;NaN;0;72;
;D08;SYBR;;Unkn;;;21,25924476928;21,25924476928;0;NaN;NaN;NaN;0;72;
;D09;SYBR;;Unkn;;;20,6739656784601;20,6739656784601;0;NaN;NaN;NaN;0;72;
;D10;SYBR;;Unkn;;;21,1850649618857;21,1850649618857;0;NaN;NaN;NaN;0;72;
