;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Cq;19,8034394951986;15,224650727272;16,9554509466323;29,2369099329311;36,5689579363967;32,1655186764663;31,5875944259787;29,2200810739259;29,9264340781129;27,3484469023602;24,6478702812965;31,7042007088084
A;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Cq;19,5288266348067;15,3800331334736;16,6862411610623;29,8926198810812;31,4509975037321;38,4003868354893;31,3997750345227;28,8897818997602;30,2920284100987;26,9177952823935;25,1501735990773;31,1843781300102
B;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Cq;21,23506143758;19,973447944717;20,0367161155637;20,7491030222742;20,1074001085387;22,2867209678867;21,0372522698957;21,1531967362568;20,7387065009945;21,1091470251354;21,4705680008778;21,0546829199983
C;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Cq;21,7635572377529;20,1140848453232;20,9657927938291;20,2949835242995;20,1869199742976;21,6580629232207;21,1830944004444;21,25924476928;20,6739656784601;21,1850649618857;22,0872993467886;20,8739266849709
D;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
E;Sample;;;;;;;;;;;;
E;Cq;27,1683085965491;29,2524962160349;27,0338560242005;29,0035195843097;34,6029896191064;30,2631825649346;;;;;;
E;;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
F;Sample;;;;;;;;;;;;
F;Cq;30,6676581114801;28,2931167594981;26,7541170457703;29,0763317156385;38,0245693324362;30,3529820934616;;;;;;
F;;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
G;Sample;;;;;;;;;;;;
G;Cq;21,4754929305124;21,1086927330378;20,0898298543093;19,8646398617769;22,7114366880167;21,2999843094553;;;;;;
G;;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;;;;;;
H;Sample;;;;;;;;;;;;
H;Cq;21,3344386205031;21,6923406455228;20,2803912245148;20,7419832297583;22,4877146163344;21,6048102837778;;;;;;
H;;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;
