;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;;Unkn;;19,8034394951986;NaN
;A02;SYBR;;Unkn;;15,224650727272;NaN
;A03;SYBR;;Unkn;;16,9554509466323;NaN
;A04;SYBR;;Unkn;;29,2369099329311;NaN
;A05;SYBR;;Unkn;;36,5689579363967;NaN
;A06;SYBR;;Unkn;;32,1655186764663;NaN
;A07;SYBR;;Unkn;;31,5875944259787;NaN
;A08;SYBR;;Unkn;;29,2200810739259;NaN
;A09;SYBR;;Unkn;;29,9264340781129;NaN
;A10;SYBR;;Unkn;;27,3484469023602;NaN
;A11;SYBR;;Unkn;;24,6478702812965;NaN
;A12;SYBR;;Unkn;;31,7042007088084;NaN
;B01;SYBR;;Unkn;;19,5288266348067;NaN
;B02;SYBR;;Unkn;;15,3800331334736;NaN
;B03;SYBR;;Unkn;;16,6862411610623;NaN
;B04;SYBR;;Unkn;;29,8926198810812;NaN
;B05;SYBR;;Unkn;;31,4509975037321;NaN
;B06;SYBR;;Unkn;;38,4003868354893;NaN
;B07;SYBR;;Unkn;;31,3997750345227;NaN
;B08;SYBR;;Unkn;;28,8897818997602;NaN
;B09;SYBR;;Unkn;;30,2920284100987;NaN
;B10;SYBR;;Unkn;;26,9177952823935;NaN
;B11;SYBR;;Unkn;;25,1501735990773;NaN
;B12;SYBR;;Unkn;;31,1843781300102;NaN
;C01;SYBR;;Unkn;;21,23506143758;NaN
;C02;SYBR;;Unkn;;19,973447944717;NaN
;C03;SYBR;;Unkn;;20,0367161155637;NaN
;C04;SYBR;;Unkn;;20,7491030222742;NaN
;C05;SYBR;;Unkn;;20,1074001085387;NaN
;C06;SYBR;;Unkn;;22,2867209678867;NaN
;C07;SYBR;;Unkn;;21,0372522698957;NaN
;C08;SYBR;;Unkn;;21,1531967362568;NaN
;C09;SYBR;;Unkn;;20,7387065009945;NaN
;C10;SYBR;;Unkn;;21,1091470251354;NaN
;C11;SYBR;;Unkn;;21,4705680008778;NaN
;C12;SYBR;;Unkn;;21,0546829199983;NaN
;D01;SYBR;;Unkn;;21,7635572377529;NaN
;D02;SYBR;;Unkn;;20,1140848453232;NaN
;D03;SYBR;;Unkn;;20,9657927938291;NaN
;D04;SYBR;;Unkn;;20,2949835242995;NaN
;D05;SYBR;;Unkn;;20,1869199742976;NaN
;D06;SYBR;;Unkn;;21,6580629232207;NaN
;D07;SYBR;;Unkn;;21,1830944004444;NaN
;D08;SYBR;;Unkn;;21,25924476928;NaN
;D09;SYBR;;Unkn;;20,6739656784601;NaN
;D10;SYBR;;Unkn;;21,1850649618857;NaN
;D11;SYBR;;Unkn;;22,0872993467886;NaN
;D12;SYBR;;Unkn;;20,8739266849709;NaN
;E01;SYBR;;Unkn;;27,1683085965491;NaN
;E02;SYBR;;Unkn;;29,2524962160349;NaN
;E03;SYBR;;Unkn;;27,0338560242005;NaN
;E04;SYBR;;Unkn;;29,0035195843097;NaN
;E05;SYBR;;Unkn;;34,6029896191064;NaN
;E06;SYBR;;Unkn;;30,2631825649346;NaN
;F01;SYBR;;Unkn;;30,6676581114801;NaN
;F02;SYBR;;Unkn;;28,2931167594981;NaN
;F03;SYBR;;Unkn;;26,7541170457703;NaN
;F04;SYBR;;Unkn;;29,0763317156385;NaN
;F05;SYBR;;Unkn;;38,0245693324362;NaN
;F06;SYBR;;Unkn;;30,3529820934616;NaN
;G01;SYBR;;Unkn;;21,4754929305124;NaN
;G02;SYBR;;Unkn;;21,1086927330378;NaN
;G03;SYBR;;Unkn;;20,0898298543093;NaN
;G04;SYBR;;Unkn;;19,8646398617769;NaN
;G05;SYBR;;Unkn;;22,7114366880167;NaN
;G06;SYBR;;Unkn;;21,2999843094553;NaN
;H01;SYBR;;Unkn;;21,3344386205031;NaN
;H02;SYBR;;Unkn;;21,6923406455228;NaN
;H03;SYBR;;Unkn;;20,2803912245148;NaN
;H04;SYBR;;Unkn;;20,7419832297583;NaN
;H05;SYBR;;Unkn;;22,4877146163344;NaN
;H06;SYBR;;Unkn;;21,6048102837778;NaN
