,Replicate,Treatment,Plate,Plant,Weight
0,R1,Mock,1,1,0.0099
1,R1,Mock,1,2,0.0113
2,R1,Mock,1,3,0.015
3,R1,Mock,1,4,0.0
4,R1,Mock,1,5,0.0172
5,R1,Mock,1,6,0.0117
6,R1,Mock,1,7,0.008
7,R1,Mock,2,1,0.0148
8,R1,Mock,2,2,0.0125
9,R1,Mock,2,3,0.0089
10,R1,Mock,2,4,0.0079
11,R1,Mock,2,5,0.0087
12,R1,Mock,2,6,0.078
13,R1,Mock,2,7,0.0
14,R1,Mock,3,1,0.0172
15,R1,Mock,3,2,0.0096
16,R1,Mock,3,3,0.0
17,R1,Mock,3,4,0.015
18,R1,Mock,3,5,0.007
19,R1,Mock,3,6,0.01
20,R1,Mock,3,7,0.0076
105,R1,T reseii WT,1,1,0.0297
106,R1,T reseii WT,1,2,0.0202
107,R1,T reseii WT,1,3,0.0
108,R1,T reseii WT,1,4,0.0331
109,R1,T reseii WT,1,5,0.0288
110,R1,T reseii WT,1,6,0.0306
111,R1,T reseii WT,1,7,0.0
112,R1,T reseii WT,2,1,0.0
113,R1,T reseii WT,2,2,0.0417
114,R1,T reseii WT,2,3,0.0383
115,R1,T reseii WT,2,4,0.0
116,R1,T reseii WT,2,5,0.0046
117,R1,T reseii WT,2,6,0.0
118,R1,T reseii WT,2,7,0.0
119,R1,T reseii WT,3,1,0.043
120,R1,T reseii WT,3,2,0.0171
121,R1,T reseii WT,3,3,0.0248
122,R1,T reseii WT,3,4,0.0043
123,R1,T reseii WT,3,5,0.03
124,R1,T reseii WT,3,6,0.0295
125,R1,T reseii WT,3,7,0.0287
126,R1,T reseii D1,1,1,0.0468
127,R1,T reseii D1,1,2,0.0
128,R1,T reseii D1,1,3,0.0
129,R1,T reseii D1,1,4,0.0129
130,R1,T reseii D1,1,5,0.027
131,R1,T reseii D1,1,6,0.0342
132,R1,T reseii D1,1,7,0.0176
133,R1,T reseii D1,2,1,0.0144
134,R1,T reseii D1,2,2,0.0352
135,R1,T reseii D1,2,3,0.0071
136,R1,T reseii D1,2,4,0.0159
137,R1,T reseii D1,2,5,0.0144
138,R1,T reseii D1,2,6,0.02
139,R1,T reseii D1,2,7,0.0196
140,R1,T reseii D1,3,1,0.0296
141,R1,T reseii D1,3,2,0.0098
142,R1,T reseii D1,3,3,0.0157
143,R1,T reseii D1,3,4,0.0306
144,R1,T reseii D1,3,5,0.0
145,R1,T reseii D1,3,6,0.0363
146,R1,T reseii D1,3,7,0.0
147,R1,T reseii R1,1,1,0.0339
