;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;18,8765368881443;18,8765368881443;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;30,2788169488311;30,2788169488311;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;21,9041393780364;21,9041393780364;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;19,2265104552524;19,2265104552524;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;29,9875539154735;29,9875539154735;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;21,9606980771247;21,9606980771247;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;22,107767297125;22,107767297125;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;23,8340609662317;23,8340609662317;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;19,8236562324021;19,8236562324021;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;21,5993252239815;21,5993252239815;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;30,3321488526439;30,3321488526439;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;20,8524109490126;20,8524109490126;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;18,1541169555303;18,1541169555303;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;29,5385996187176;29,5385996187176;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;21,422430594736;21,422430594736;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;18,4814675463731;18,4814675463731;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;30,0454518016218;30,0454518016218;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;21,5897984572252;21,5897984572252;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;21,0689986505141;21,0689986505141;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;23,5303833864507;23,5303833864507;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;19,4850890608996;19,4850890608996;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;21,6419435357248;21,6419435357248;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;31,3299933047207;31,3299933047207;0;NaN;NaN;NaN;0;72;
;B12;SYBR;;Unkn;;;20,1450598034675;20,1450598034675;0;NaN;NaN;NaN;0;72;
;C01;SYBR;;Unkn;;;22,0478742901473;22,0478742901473;0;NaN;NaN;NaN;0;72;
;C02;SYBR;;Unkn;;;23,2736703202043;23,2736703202043;0;NaN;NaN;NaN;0;72;
;C03;SYBR;;Unkn;;;24,2331549723127;24,2331549723127;0;NaN;NaN;NaN;0;72;
;C04;SYBR;;Unkn;;;22,0694178133844;22,0694178133844;0;NaN;NaN;NaN;0;72;
;C05;SYBR;;Unkn;;;22,9471261875428;22,9471261875428;0;NaN;NaN;NaN;0;72;
;C06;SYBR;;Unkn;;;25,9947882117445;25,9947882117445;0;NaN;NaN;NaN;0;72;
;C07;SYBR;;Unkn;;;22,4366053915618;22,4366053915618;0;NaN;NaN;NaN;0;72;
;C08;SYBR;;Unkn;;;26,1992097675338;26,1992097675338;0;NaN;NaN;NaN;0;72;
;C09;SYBR;;Unkn;;;22,5124979536109;22,5124979536109;0;NaN;NaN;NaN;0;72;
;C10;SYBR;;Unkn;;;22,8676525711457;22,8676525711457;0;NaN;NaN;NaN;0;72;
;C11;SYBR;;Unkn;;;23,1665159335868;23,1665159335868;0;NaN;NaN;NaN;0;72;
;C12;SYBR;;Unkn;;;23,8057182456217;23,8057182456217;0;NaN;NaN;NaN;0;72;
;D01;SYBR;;Unkn;;;22,9782896654785;22,9782896654785;0;NaN;NaN;NaN;0;72;
;D02;SYBR;;Unkn;;;23,1801393228602;23,1801393228602;0;NaN;NaN;NaN;0;72;
;D03;SYBR;;Unkn;;;24,2138958911493;24,2138958911493;0;NaN;NaN;NaN;0;72;
;D04;SYBR;;Unkn;;;22,0447781674187;22,0447781674187;0;NaN;NaN;NaN;0;72;
;D05;SYBR;;Unkn;;;23,063999562093;23,063999562093;0;NaN;NaN;NaN;0;72;
;D06;SYBR;;Unkn;;;25,9656997575126;25,9656997575126;0;NaN;NaN;NaN;0;72;
;D07;SYBR;;Unkn;;;22,6871820170241;22,6871820170241;0;NaN;NaN;NaN;0;72;
;D08;SYBR;;Unkn;;;25,908788293376;25,908788293376;0;NaN;NaN;NaN;0;72;
;D09;SYBR;;Unkn;;;22,6882316154651;22,6882316154651;0;NaN;NaN;NaN;0;72;
;D10;SYBR;;Unkn;;;22,8366726126845;22,8366726126845;0;NaN;NaN;NaN;0;72;
;D11;SYBR;;Unkn;;;23,4853394924872;23,4853394924872;0;NaN;NaN;NaN;0;72;
;D12;SYBR;;Unkn;;;23,8815293677205;23,8815293677205;0;NaN;NaN;NaN;0;72;
;E01;SYBR;;Unkn;;;23,3285165321322;23,3285165321322;0;NaN;NaN;NaN;0;72;
;E02;SYBR;;Unkn;;;20,3582184604155;20,3582184604155;0;NaN;NaN;NaN;0;72;
;E03;SYBR;;Unkn;;;19,6619301221107;19,6619301221107;0;NaN;NaN;NaN;0;72;
;E04;SYBR;;Unkn;;;20,3315584061851;20,3315584061851;0;NaN;NaN;NaN;0;72;
;E05;SYBR;;Unkn;;;20,8112472433751;20,8112472433751;0;NaN;NaN;NaN;0;72;
;E06;SYBR;;Unkn;;;22,2468135623615;22,2468135623615;0;NaN;NaN;NaN;0;72;
;E07;SYBR;;Unkn;;;21,3886702127565;21,3886702127565;0;NaN;NaN;NaN;0;72;
;E08;SYBR;;Unkn;;;22,714099299181;22,714099299181;0;NaN;NaN;NaN;0;72;
;E09;SYBR;;Unkn;;;20,7921713606647;20,7921713606647;0;NaN;NaN;NaN;0;72;
;E10;SYBR;;Unkn;;;19,0329429530908;19,0329429530908;0;NaN;NaN;NaN;0;72;
;E11;SYBR;;Unkn;;;17,1977950298429;17,1977950298429;0;NaN;NaN;NaN;0;72;
;E12;SYBR;;Unkn;;;22,2011613062149;22,2011613062149;0;NaN;NaN;NaN;0;72;
;F01;SYBR;;Unkn;;;23,4848580237608;23,4848580237608;0;NaN;NaN;NaN;0;72;
;F02;SYBR;;Unkn;;;20,6120739530046;20,6120739530046;0;NaN;NaN;NaN;0;72;
;F03;SYBR;;Unkn;;;19,5797938517135;19,5797938517135;0;NaN;NaN;NaN;0;72;
;F04;SYBR;;Unkn;;;20,9865166032367;20,9865166032367;0;NaN;NaN;NaN;0;72;
;F05;SYBR;;Unkn;;;21,057811708121;21,057811708121;0;NaN;NaN;NaN;0;72;
;F06;SYBR;;Unkn;;;22,2397798408652;22,2397798408652;0;NaN;NaN;NaN;0;72;
;F07;SYBR;;Unkn;;;21,5822250735322;21,5822250735322;0;NaN;NaN;NaN;0;72;
;F08;SYBR;;Unkn;;;22,6686480689052;22,6686480689052;0;NaN;NaN;NaN;0;72;
;F09;SYBR;;Unkn;;;20,7508016480318;20,7508016480318;0;NaN;NaN;NaN;0;72;
;F10;SYBR;;Unkn;;;18,7066985686359;18,7066985686359;0;NaN;NaN;NaN;0;72;
;F11;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;72;
;F12;SYBR;;Unkn;;;21,0684951617407;21,0684951617407;0;NaN;NaN;NaN;0;72;
;G01;SYBR;;Unkn;;;NaN;0;0;NaN;NaN;0;0;72;
;G02;SYBR;;Unkn;;;22,7813168608616;22,7813168608616;0;NaN;NaN;NaN;0;72;
;G03;SYBR;;Unkn;;;22,1368948626477;22,1368948626477;0;NaN;NaN;NaN;0;72;
;G04;SYBR;;Unkn;;;23,0442506468859;23,0442506468859;0;NaN;NaN;NaN;0;72;
;G05;SYBR;;Unkn;;;22,0170089485249;22,0170089485249;0;NaN;NaN;NaN;0;72;
;G06;SYBR;;Unkn;;;23,3626960213007;23,3626960213007;0;NaN;NaN;NaN;0;72;
;G07;SYBR;;Unkn;;;25,7584568290637;25,7584568290637;0;NaN;NaN;NaN;0;72;
;G08;SYBR;;Unkn;;;22,5006411490544;22,5006411490544;0;NaN;NaN;NaN;0;72;
;G09;SYBR;;Unkn;;;23,6875163940026;23,6875163940026;0;NaN;NaN;NaN;0;72;
;G10;SYBR;;Unkn;;;22,831142134144;22,831142134144;0;NaN;NaN;NaN;0;72;
;G11;SYBR;;Unkn;;;22,4671305284486;22,4671305284486;0;NaN;NaN;NaN;0;72;
;G12;SYBR;;Unkn;;;22,3498693894249;22,3498693894249;0;NaN;NaN;NaN;0;72;
;H01;SYBR;;Unkn;;;38,9070828527978;38,9070828527978;0;NaN;NaN;NaN;0;72;
;H02;SYBR;;Unkn;;;23,1319948200057;23,1319948200057;0;NaN;NaN;NaN;0;72;
;H03;SYBR;;Unkn;;;22,428090368582;22,428090368582;0;NaN;NaN;NaN;0;72;
;H04;SYBR;;Unkn;;;23,2628058300317;23,2628058300317;0;NaN;NaN;NaN;0;72;
;H05;SYBR;;Unkn;;;21,89541154406;21,89541154406;0;NaN;NaN;NaN;0;72;
;H06;SYBR;;Unkn;;;23,6216809393839;23,6216809393839;0;NaN;NaN;NaN;0;72;
;H07;SYBR;;Unkn;;;26,0210827653402;26,0210827653402;0;NaN;NaN;NaN;0;72;
