Well,Sample,Sample_ref,Treatment,Condition
A1,1,3B1,F1,lowP
A2,2,F1B,F230,highP
A3,3,22A2,F100,highP
A4,4,25A2,F119,highP
A5,5,J1B,F201,highP
A6,6,O1B,F147,highP
A7,7,L1B,F134,highP
A8,8,E1B,F120,highP
A9,9,HighP 104 p1,F104,highP
A10,10,I1B,F104,highP
A11,11,B1B,F79,highP
A12,12,26A2,F126,highP
E1,13,27A2,F127,highP
E2,14,31A2,F135,highP
E3,15,29A2,F235,highP
E4,16,33A2,F243,highP
E5,17,G1B,F72,highP
E6,18,10A2,F40,highP
E7,19,32A2,F241,highP
E8,20,28A2,F129,highP
E9,21,24A2,F113,highP
E10,22,HighP 100 p2,F100,highP
E11,23,34A2,F46c,highP
E12,24,21A2,F96,highP
