id,Lifestyle
Lobtra1,Saprotroph
Morel_U14_1,Arabidopsis mycobiota member
Morel2,Saprotroph
Pirin1,Endophyte
Sebve1,Orchid mycorrhiza
Thacu1,Arabidopsis mycobiota member
Botbo1,Saprotroph
Tulca1,Orchid mycorrhiza
Olipa1,Arabidopsis mycobiota member
PleosPC15_1,Saprotroph
Schco1,Saprotroph
Gyman1,Saprotroph
Armost1,Pathogen
Amamu1,Ectomycorrhiza
Agabi_varbur_1,Saprotroph
Copph3,Arabidopsis mycobiota member
Copci1,Saprotroph
Lacbi2,Ectomycorrhiza
Hebcy2,Ectomycorrhiza
Galma1,Saprotroph
Hetan2,Pathogen
Trave1,Saprotroph
Pilcr1,Ectomycorrhiza
Paxin1,Ectomycorrhiza
Sclci1,Ectomycorrhiza
Pismi1,Ectomycorrhiza
Tubae1,Ectomycorrhiza
Tubma1,Ectomycorrhiza
Morco1,Ectomycorrhiza
Botci1,Pathogen
Sclsc1,Pathogen
Oidma1,Ericoid mycorrhiza
Zalva1,Arabidopsis mycobiota member
Ascsa1,Saprotroph
Chalo1,Saprotroph
Melva1,Ericoid mycorrhiza
Melbi2,Ectomycorrhiza
Rhier1,Ericoid mycorrhiza
Phisc1,Endophyte
Rhesp1,Arabidopsis mycobiota member
Lepor2,Arabidopsis mycobiota member
Phimu1,Arabidopsis mycobiota member
Cadsp1,Endophyte
Helo229,Endophyte
Truan1,Arabidopsis mycobiota member
DalEC12_1,Endophyte
Micbo1,Endophyte
Mictri1,Arabidopsis mycobiota member
Falor1,Endophyte
Maggr1,Pathogen
Neucr2,Saprotroph
Sorhu1,Arabidopsis mycobiota member
Thite2,Saprotroph
Spoth2,Saprotroph
Chame1,Arabidopsis mycobiota member
Chagl_1,Saprotroph
Chagl1,Arabidopsis mycobiota member
Chafu1,Arabidopsis mycobiota member
Sodal1,Saprotroph
Plecuc1,Arabidopsis mycobiota member
Plecucu1,Arabidopsis mycobiota member
Veral1,Pathogen
Verdah1,Arabidopsis mycobiota member
Verda1,Pathogen
Colch1,Pathogen
Colhig2,Pathogen
Colto1,Endophyte
Stael1,Arabidopsis mycobiota member
Triat2,Saprotroph
TriviGv29_8_2,Saprotroph
Trire2,Saprotroph
Cylol1,Arabidopsis mycobiota member
Neodi1,Pathogen
Neora1,Arabidopsis mycobiota member
Ilyeu1,Arabidopsis mycobiota member
Daces1,Arabidopsis mycobiota member
Dacma1,Arabidopsis mycobiota member
Fusso1,Arabidopsis mycobiota member
Fusre1,Arabidopsis mycobiota member
Fusfu1,Pathogen
Fusve2,Pathogen
Fusox2,Pathogen
Fusoxy1,Arabidopsis mycobiota member
Fusoxys1,Arabidopsis mycobiota member
Fusco1,Arabidopsis mycobiota member
Fustri1,Arabidopsis mycobiota member
Fustr1,Arabidopsis mycobiota member
Fuseq1,Arabidopsis mycobiota member
Fusven1,Arabidopsis mycobiota member
Fusgr1,Pathogen
Pensub1,Saprotroph
Aspoch1,Saprotroph
Aspnov1,Saprotroph
Asptaic1,Saprotroph
Aspcam1,Saprotroph
Mycfi2,Pathogen
Bauco1,Saprotroph
Dipse1,Pathogen
Macpha1,Arabidopsis mycobiota member
Macph1,Pathogen
Cenge3,Ectomycorrhiza
Denna1,Arabidopsis mycobiota member
Corca1,Pathogen
Perma1,Endophyte
Boeex1,Arabidopsis mycobiota member
Parchr1,Arabidopsis mycobiota member
Parch1,Arabidopsis mycobiota member
Phapo1,Arabidopsis mycobiota member
Stano2,Pathogen
Pyrsp1,Saprotroph
Pyrly1,Arabidopsis mycobiota member
Lepmu1,Pathogen
Pyrtr1,Pathogen
Altro1,Arabidopsis mycobiota member
Altbr1,Pathogen
Altalt1,Arabidopsis mycobiota member
Altal1,Saprotroph
Stely1,Pathogen
Cocsa1,Pathogen
Cocvi1,Pathogen
