,phosphate,plate,replicate,treatment,weight
0,P+,A194+1,A,94,0.0864
1,P+,A194+1,A,94,0.0004
2,P+,A194+1,A,94,0.0311
3,P+,A194+1,A,94,0.0571
4,P+,A194+1,A,94,0.0022
5,P+,A194+2,A,94,0.0457
6,P+,A194+2,A,94,0.0455
7,P+,A194+2,A,94,0.0655
8,P+,A194+2,A,94,0.0892
9,P+,A194+3,A,94,0.0417
10,P+,A194+3,A,94,0.0511
11,P+,A194+3,A,94,0.0459
12,P+,A194+3,A,94,0.0846
13,P+,A194+4,A,94,0.0734
14,P+,A194+4,A,94,0.054
15,P+,A194+4,A,94,0.05
16,P+,A194+4,A,94,0.0824
17,P+,A194+4,A,94,0.0146
18,P-,A194-1,A,94,0.013
19,P-,A194-1,A,94,0.0
20,P-,A194-1,A,94,0.0086
21,P-,A194-1,A,94,0.0
22,P-,A194-1,A,94,0.0
23,P-,A194-1,A,94,0.021
24,P-,A194-1,A,94,0.0
25,P-,A194-2,A,94,0.0115
26,P-,A194-2,A,94,0.0
27,P-,A194-2,A,94,0.0
28,P-,A194-2,A,94,0.0
29,P-,A194-2,A,94,0.0
30,P-,A194-2,A,94,0.0144
31,P-,A194-2,A,94,0.0
32,P-,A194-3,A,94,0.0
33,P-,A194-3,A,94,0.0
34,P-,A194-3,A,94,0.0
35,P-,A194-3,A,94,0.0
36,P-,A194-3,A,94,0.0
37,P-,A194-3,A,94,0.0
38,P-,A194-3,A,94,0.0214
39,P-,A194-4,A,94,0.0094
40,P-,A194-4,A,94,0.0
41,P-,A194-4,A,94,0.0277
42,P-,A194-4,A,94,0.0
43,P-,A194-4,A,94,0.0
44,P-,A194-4,A,94,0.0
45,P-,A194-4,A,94,0.0129
46,P+,A1100+1,A,100,0.0
47,P+,A1100+1,A,100,0.0
48,P+,A1100+1,A,100,0.0
49,P+,A1100+1,A,100,0.0
50,P+,A1100+1,A,100,0.0
51,P+,A1100+1,A,100,0.0
52,P+,A1100+1,A,100,0.0
53,P+,A1100+2,A,100,0.0
54,P+,A1100+2,A,100,0.0
55,P+,A1100+2,A,100,0.0
56,P+,A1100+2,A,100,0.0
57,P+,A1100+2,A,100,0.0
58,P+,A1100+2,A,100,0.0
59,P+,A1100+2,A,100,0.0
60,P+,A1100+3,A,100,0.0
61,P+,A1100+3,A,100,0.0
62,P+,A1100+3,A,100,0.0
63,P+,A1100+3,A,100,0.0
64,P+,A1100+3,A,100,0.0
65,P+,A1100+3,A,100,0.0
66,P+,A1100+3,A,100,0.0
67,P+,A1100+4,A,100,0.0
68,P+,A1100+4,A,100,0.0
69,P+,A1100+4,A,100,0.0
70,P+,A1100+4,A,100,0.0
71,P+,A1100+4,A,100,0.0
72,P+,A1100+4,A,100,0.0
73,P+,A1100+4,A,100,0.0
74,P-,A1100-1,A,100,0.0
75,P-,A1100-1,A,100,0.0
76,P-,A1100-1,A,100,0.0
77,P-,A1100-1,A,100,0.0
78,P-,A1100-1,A,100,0.0
79,P-,A1100-1,A,100,0.0
80,P-,A1100-1,A,100,0.0
81,P-,A1100-2,A,100,0.0016
82,P-,A1100-2,A,100,0.0
83,P-,A1100-2,A,100,0.0
84,P-,A1100-2,A,100,0.0
85,P-,A1100-2,A,100,0.0
86,P-,A1100-2,A,100,0.0
87,P-,A1100-3,A,100,0.0
88,P-,A1100-3,A,100,0.0
89,P-,A1100-3,A,100,0.0
90,P-,A1100-3,A,100,0.001
91,P-,A1100-3,A,100,0.0
92,P-,A1100-3,A,100,0.0
93,P-,A1100-3,A,100,0.0
94,P-,A1100-4,A,100,0.0
95,P-,A1100-4,A,100,0.0
96,P-,A1100-4,A,100,0.0
97,P-,A1100-4,A,100,0.0
98,P-,A1100-4,A,100,0.0
99,P-,A1100-4,A,100,0.0
100,P-,A1100-4,A,100,0.0
101,P+,A164+1,A,64,0.0015
102,P+,A164+1,A,64,0.0
103,P+,A164+1,A,64,0.0
104,P+,A164+1,A,64,0.0
105,P+,A164+1,A,64,0.0005
106,P+,A164+1,A,64,0.1201
107,P+,A164+1,A,64,0.0484
108,P+,A164+2,A,64,0.0012
109,P+,A164+2,A,64,0.0
110,P+,A164+2,A,64,0.0404
111,P+,A164+2,A,64,0.0
112,P+,A164+2,A,64,0.0
113,P+,A164+2,A,64,0.0
114,P+,A164+2,A,64,0.0796
115,P+,A164+3,A,64,0.0
116,P+,A164+3,A,64,0.0704
117,P+,A164+3,A,64,0.0872
118,P+,A164+3,A,64,0.0
119,P+,A164+3,A,64,0.0
120,P+,A164+3,A,64,0.067
121,P+,A164+3,A,64,0.0
122,P+,A164+4,A,64,0.1009
123,P+,A164+4,A,64,0.0
124,P+,A164+4,A,64,0.0606
125,P+,A164+4,A,64,0.0
126,P+,A164+4,A,64,0.0
127,P+,A164+4,A,64,0.0
128,P+,A164+4,A,64,0.0
129,P-,A164-1,A,64,0.0
130,P-,A164-1,A,64,0.0147
131,P-,A164-1,A,64,0.0072
132,P-,A164-1,A,64,0.0061
133,P-,A164-1,A,64,0.0
134,P-,A164-1,A,64,0.0
135,P-,A164-1,A,64,0.0
136,P-,A164-2,A,64,0.0151
137,P-,A164-2,A,64,0.0131
138,P-,A164-2,A,64,0.0
139,P-,A164-2,A,64,0.0
140,P-,A164-2,A,64,0.0201
141,P-,A164-2,A,64,0.0
142,P-,A164-2,A,64,0.0
143,P-,A164-3,A,64,0.0
144,P-,A164-3,A,64,0.012
145,P-,A164-3,A,64,0.0
146,P-,A164-3,A,64,0.0133
147,P-,A164-3,A,64,0.0029
148,P-,A164-3,A,64,0.0046
149,P-,A164-3,A,64,0.0135
150,P-,A164-4,A,64,0.01
151,P-,A164-4,A,64,0.0
152,P-,A164-4,A,64,0.0124
153,P-,A164-4,A,64,0.0066
154,P-,A164-4,A,64,0.0067
155,P-,A164-4,A,64,0.0
156,P-,A164-4,A,64,0.0
157,P+,A172+1,A,72,0.0
158,P+,A172+1,A,72,0.0587
159,P+,A172+1,A,72,0.0
160,P+,A172+1,A,72,0.0511
161,P+,A172+1,A,72,0.0185
162,P+,A172+1,A,72,0.0
163,P+,A172+1,A,72,0.0
164,P+,A172+2,A,72,0.0095
165,P+,A172+2,A,72,0.0721
166,P+,A172+2,A,72,0.05
167,P+,A172+2,A,72,0.0233
168,P+,A172+2,A,72,0.0
169,P+,A172+2,A,72,0.0
170,P+,A172+2,A,72,0.0
171,P+,A172+3,A,72,0.0684
172,P+,A172+3,A,72,0.0667
173,P+,A172+3,A,72,0.0071
174,P+,A172+3,A,72,0.0
175,P+,A172+3,A,72,0.0
176,P+,A172+3,A,72,0.0
177,P+,A172+3,A,72,0.0513
178,P+,A172+4,A,72,0.078
179,P+,A172+4,A,72,0.0
180,P+,A172+4,A,72,0.0473
181,P+,A172+4,A,72,0.0509
182,P+,A172+4,A,72,0.0061
183,P+,A172+4,A,72,0.0
184,P+,A172+4,A,72,0.0
185,P-,A172-1,A,72,0.0
186,P-,A172-1,A,72,0.0112
187,P-,A172-1,A,72,0.0188
188,P-,A172-1,A,72,0.0
