Node,Ectomycorrhiza,Endophyte,Ericoid mycorrhiza,Orchid mycorrhiza,Pathogen,Saprotroph,Uncharacterized root-associated fungus
N1,0.1,0.2,0.0,0.0,0.0,0.2,0.5
N10,0.0,0.0,0.0,0.0,0.0,0.4,0.6
N100,0.0,0.2,0.0,0.0,0.4,0.0,0.4
N101,0.0,0.3,0.0,0.0,0.0,0.2,0.5
N102,0.0,0.3,0.0,0.0,0.0,0.2,0.5
N103,0.0,0.2,0.0,0.0,0.2,0.0,0.6
N104,0.0,0.2,0.0,0.0,0.4,0.0,0.4
N105,0.0,0.1,0.0,0.0,0.2,0.0,0.7
N106,0.0,0.0,0.0,0.0,0.1,0.1,0.8
N107,0.0,0.0,0.0,0.0,0.1,0.0,0.9
N108,0.0,0.0,0.0,0.0,0.0,0.0,1.0
N109,0.0,0.0,0.0,0.0,0.5,0.1,0.4
N11,0.1,0.0,0.0,0.0,0.2,0.3,0.4
N110,0.0,0.0,0.0,0.0,0.1,0.2,0.7
N111,0.0,0.0,0.0,0.0,0.1,0.3,0.6
N112,0.0,0.0,0.0,0.0,0.2,0.1,0.7
N113,0.0,0.0,0.0,0.0,0.2,0.2,0.6
N114,0.0,0.0,0.0,0.0,0.2,0.3,0.5
N115,0.0,0.0,0.0,0.0,0.2,0.3,0.5
N116,0.0,0.0,0.0,0.0,0.2,0.3,0.5
N117,0.0,0.0,0.0,0.0,0.1,0.4,0.5
N118,0.0,0.0,0.0,0.0,0.7,0.0,0.3
N119,0.0,0.0,0.0,0.0,0.9,0.0,0.1
N12,0.0,0.0,0.0,0.0,0.2,0.5,0.3
N13,0.0,0.0,0.0,0.0,0.2,0.5,0.3
N14,0.1,0.0,0.0,0.0,0.2,0.5,0.2
N15,0.1,0.0,0.0,0.0,0.3,0.4,0.2
N16,0.2,0.0,0.0,0.0,0.2,0.6,0.0
N17,0.2,0.0,0.0,0.0,0.2,0.6,0.0
N18,0.4,0.0,0.0,0.0,0.2,0.4,0.0
N19,0.1,0.0,0.0,0.0,0.1,0.6,0.2
N2,0.0,0.0,0.0,0.1,0.0,0.5,0.4
N20,0.5,0.0,0.0,0.0,0.0,0.5,0.0
N21,0.4,0.0,0.0,0.0,0.0,0.6,0.0
N22,0.1,0.0,0.0,0.0,0.3,0.4,0.2
N23,0.0,0.0,0.0,0.0,0.4,0.4,0.2
N24,0.3,0.0,0.0,0.0,0.1,0.5,0.1
N25,0.9,0.0,0.0,0.0,0.0,0.1,0.0
N26,0.9,0.0,0.0,0.0,0.1,0.0,0.0
N27,0.1,0.2,0.0,0.0,0.0,0.2,0.5
N28,0.7,0.0,0.0,0.0,0.2,0.1,0.0
N29,0.9,0.0,0.0,0.0,0.1,0.0,0.0
N3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
N30,0.0,0.2,0.0,0.0,0.0,0.2,0.6
N31,0.0,0.1,0.0,0.0,0.0,0.2,0.7
N32,0.0,0.1,0.2,0.0,0.1,0.1,0.5
N33,0.0,0.0,0.1,0.0,0.6,0.0,0.3
N34,0.0,0.1,0.4,0.0,0.1,0.0,0.4
N35,0.1,0.1,0.4,0.0,0.0,0.0,0.4
N36,0.1,0.2,0.4,0.0,0.0,0.0,0.3
N37,0.2,0.3,0.3,0.0,0.0,0.1,0.1
N38,0.4,0.0,0.4,0.0,0.0,0.2,0.0
N39,0.5,0.0,0.3,0.0,0.0,0.2,0.0
N4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
N40,0.3,0.1,0.3,0.0,0.0,0.3,0.0
N41,0.2,0.3,0.3,0.0,0.0,0.0,0.2
N42,0.0,0.4,0.2,0.0,0.0,0.0,0.4
N43,0.0,0.3,0.2,0.0,0.0,0.0,0.5
N44,0.0,0.7,0.0,0.0,0.1,0.0,0.2
N45,0.0,0.7,0.0,0.0,0.1,0.0,0.2
N46,0.0,0.0,0.0,0.0,0.1,0.3,0.6
N47,0.0,0.0,0.0,0.0,0.1,0.3,0.6
N48,0.0,0.3,0.0,0.0,0.0,0.3,0.4
N49,0.0,0.3,0.0,0.0,0.0,0.3,0.4
N5,0.0,0.0,0.0,0.1,0.0,0.5,0.4
N50,0.0,0.0,0.0,0.0,0.1,0.2,0.7
N51,0.1,0.3,0.0,0.0,0.2,0.1,0.3
N52,0.0,0.4,0.0,0.0,0.2,0.0,0.4
N53,0.1,0.1,0.0,0.0,0.2,0.6,0.0
N54,0.1,0.0,0.0,0.0,0.0,0.7,0.2
N55,0.1,0.1,0.1,0.0,0.0,0.7,0.0
N56,0.1,0.1,0.1,0.0,0.0,0.6,0.1
N57,0.1,0.1,0.1,0.0,0.0,0.6,0.1
N58,0.0,0.0,0.1,0.0,0.0,0.4,0.5
N59,0.0,0.0,0.0,0.0,0.0,0.5,0.5
N6,0.2,0.4,0.0,0.2,0.0,0.2,0.0
N60,0.0,0.0,0.0,0.0,0.1,0.2,0.7
N61,0.0,0.1,0.0,0.0,0.3,0.0,0.6
N62,0.0,0.1,0.0,0.0,0.4,0.0,0.5
N63,0.0,0.1,0.0,0.0,0.3,0.0,0.6
N64,0.0,0.1,0.0,0.0,0.0,0.0,0.9
N65,0.0,0.1,0.0,0.0,0.6,0.0,0.3
N66,0.0,0.0,0.0,0.0,0.7,0.0,0.3
N67,0.0,0.2,0.0,0.0,0.5,0.0,0.3
N68,0.0,0.2,0.0,0.0,0.6,0.0,0.2
N69,0.0,0.0,0.0,0.0,0.0,0.2,0.8
N7,0.0,0.0,0.0,0.1,0.0,0.4,0.5
N70,0.1,0.1,0.0,0.0,0.0,0.1,0.7
N71,0.0,0.1,0.0,0.0,0.0,0.8,0.1
N72,0.0,0.1,0.0,0.0,0.0,0.8,0.1
N73,0.0,0.0,0.0,0.0,0.1,0.1,0.8
N74,0.0,0.0,0.0,0.0,0.1,0.1,0.8
N75,0.0,0.0,0.0,0.0,0.1,0.1,0.8
N76,0.0,0.0,0.0,0.0,0.0,0.1,0.9
N77,0.0,0.0,0.0,0.0,0.0,0.1,0.9
N78,0.0,0.0,0.0,0.0,0.0,0.0,1.0
N79,0.0,0.0,0.0,0.0,0.1,0.0,0.9
N8,0.1,0.0,0.0,0.1,0.0,0.3,0.5
N80,0.0,0.0,0.0,0.0,0.1,0.0,0.9
N81,0.0,0.0,0.0,0.0,0.1,0.0,0.9
N82,0.0,0.0,0.0,0.0,0.2,0.0,0.8
N83,0.0,0.0,0.0,0.0,0.4,0.0,0.6
N84,0.0,0.0,0.0,0.0,0.2,0.0,0.8
N85,0.0,0.0,0.0,0.0,0.2,0.0,0.8
N86,0.0,0.0,0.0,0.0,0.0,0.0,1.0
N87,0.0,0.0,0.0,0.0,0.1,0.0,0.9
N88,0.0,0.0,0.0,0.0,0.0,0.0,1.0
N89,0.0,0.0,0.0,0.0,0.3,0.0,0.7
N9,0.1,0.0,0.0,0.2,0.0,0.5,0.2
N90,0.0,0.0,0.0,0.0,0.4,0.0,0.6
N91,0.0,0.2,0.0,0.0,0.0,0.2,0.6
N92,0.0,0.0,0.0,0.0,0.0,0.7,0.3
N93,0.0,0.0,0.0,0.0,0.0,0.8,0.2
N94,0.0,0.1,0.0,0.0,0.0,0.9,0.0
N95,0.0,0.0,0.0,0.0,0.1,0.8,0.1
N96,0.0,0.3,0.0,0.0,0.2,0.0,0.5
N97,0.1,0.2,0.0,0.0,0.4,0.1,0.2
N98,0.0,0.3,0.0,0.0,0.1,0.0,0.6
N99,0.0,0.2,0.0,0.0,0.4,0.0,0.4
