Fungus,Lifestyle
Cenge3,Ectomycorrhiza
Melbi2,Ectomycorrhiza
Tubma1,Ectomycorrhiza
Morco1,Ectomycorrhiza
Tubae1,Ectomycorrhiza
Lacbi2,Ectomycorrhiza
Amamu1,Ectomycorrhiza
Pilcr1,Ectomycorrhiza
Paxin1,Ectomycorrhiza
Sclci1,Ectomycorrhiza
Pismi1,Ectomycorrhiza
Hebcy2,Ectomycorrhiza
Falor1,Endophyte
Phisc1,Endophyte
Micbo1,Endophyte
Colto1,Endophyte
DalEC12_1,Endophyte
Helo229,Endophyte
Perma1,Endophyte
Cadsp1,Endophyte
Pirin1,Endophyte
Melva1,Ericoid mycorrhiza
Rhier1,Ericoid mycorrhiza
Oidma1,Ericoid mycorrhiza
Tulca1,Orchid mycorrhiza
Sebve1,Orchid mycorrhiza
Maggr1,Pathogen
Fusgr1,Pathogen
Stano2,Pathogen
Fusox2,Pathogen
Lepmu1,Pathogen
Veral1,Pathogen
Verda1,Pathogen
Sclsc1,Pathogen
Macph1,Pathogen
Altbr1,Pathogen
Pyrtr1,Pathogen
Cocvi1,Pathogen
Fusfu1,Pathogen
Dipse1,Pathogen
Stely1,Pathogen
Neodi1,Pathogen
Mycfi2,Pathogen
Colch1,Pathogen
Corca1,Pathogen
Fusve2,Pathogen
Botci1,Pathogen
Cocsa1,Pathogen
Colhig2,Pathogen
Hetan2,Pathogen
Armost1,Pathogen
Ascsa1,Saprotroph
Neucr2,Saprotroph
Trire2,Saprotroph
Triat2,Saprotroph
TriviGv29_8_2,Saprotroph
Thite2,Saprotroph
Spoth2,Saprotroph
Chagl_1,Saprotroph
Bauco1,Saprotroph
Pyrsp1,Saprotroph
Altal1,Saprotroph
Pensub1,Saprotroph
Aspnov1,Saprotroph
Aspoch1,Saprotroph
Aspcam1,Saprotroph
Asptaic1,Saprotroph
Sodal1,Saprotroph
Chalo1,Saprotroph
Copci1,Saprotroph
Schco1,Saprotroph
Trave1,Saprotroph
Agabi_varbur_1,Saprotroph
Galma1,Saprotroph
Botbo1,Saprotroph
PleosPC15_1,Saprotroph
Gyman1,Saprotroph
Morel2,Saprotroph
Lobtra1,Saprotroph
Macpha1,Arabidopsis mycobiota member
Altro1,Arabidopsis mycobiota member
Altalt1,Arabidopsis mycobiota member
Boeex1,Arabidopsis mycobiota member
Denna1,Arabidopsis mycobiota member
Parch1,Arabidopsis mycobiota member
Phapo1,Arabidopsis mycobiota member
Parchr1,Arabidopsis mycobiota member
Pyrly1,Arabidopsis mycobiota member
Lepor2,Arabidopsis mycobiota member
Rhesp1,Arabidopsis mycobiota member
Zalva1,Arabidopsis mycobiota member
Phimu1,Arabidopsis mycobiota member
Plecuc1,Arabidopsis mycobiota member
Verdah1,Arabidopsis mycobiota member
Plecucu1,Arabidopsis mycobiota member
Fusven1,Arabidopsis mycobiota member
Fuseq1,Arabidopsis mycobiota member
Fustr1,Arabidopsis mycobiota member
Fusoxys1,Arabidopsis mycobiota member
Fusco1,Arabidopsis mycobiota member
Fustri1,Arabidopsis mycobiota member
Neora1,Arabidopsis mycobiota member
Ilyeu1,Arabidopsis mycobiota member
Fusso1,Arabidopsis mycobiota member
Stael1,Arabidopsis mycobiota member
Dacma1,Arabidopsis mycobiota member
Fusre1,Arabidopsis mycobiota member
Fusoxy1,Arabidopsis mycobiota member
Daces1,Arabidopsis mycobiota member
Cylol1,Arabidopsis mycobiota member
Chame1,Arabidopsis mycobiota member
Chagl1,Arabidopsis mycobiota member
Chafu1,Arabidopsis mycobiota member
Sorhu1,Arabidopsis mycobiota member
Truan1,Arabidopsis mycobiota member
Mictri1,Arabidopsis mycobiota member
Copph3,Arabidopsis mycobiota member
Olipa1,Arabidopsis mycobiota member
Thacu1,Arabidopsis mycobiota member
Morel_U14_1,Arabidopsis mycobiota member
