COUNT,OrthoFinder,ETE
1,N7,N4
2,N3,N3
3,N8,N6
4,N19,N9
5,N13,N8
6,N60,N15
7,N49,N14
8,N83,N19
9,N95,N21
10,N84,N20
11,N73,N18
12,N61,N17
13,N50,N16
14,N38,N13
15,N28,N12
16,N39,N23
17,N62,N26
18,N51,N25
19,N40,N24
20,N29,N22
21,N20,N11
22,N14,N10
23,N9,N7
24,N4,N5
25,N1,N2
26,N10,N29
27,N5,N28
28,N21,N33
29,N85,N40
30,N74,N39
31,N63,N38
32,N86,N43
33,N96,N45
34,N87,N44
35,N75,N42
36,N64,N41
37,N52,N37
38,N41,N36
39,N30,N35
40,N22,N34
41,N15,N32
42,N42,N49
43,N31,N48
44,N23,N47
45,N43,N52
46,N53,N54
47,N97,N59
48,N88,N58
49,N76,N57
50,N65,N56
51,N54,N55
52,N44,N53
53,N32,N51
54,N77,N64
55,N89,N66
56,N78,N65
57,N66,N63
58,N55,N62
59,N67,N68
60,N56,N67
61,N45,N61
62,N79,N72
63,N68,N71
64,N57,N70
65,N98,N77
66,N99,N78
67,N90,N76
68,N80,N75
69,N69,N74
70,N107,N83
71,N113,N86
72,N111,N85
73,N108,N84
74,N100,N82
75,N91,N81
76,N101,N88
77,N109,N90
78,N102,N89
79,N92,N87
80,N81,N80
81,N70,N79
82,N58,N73
83,N46,N69
84,N33,N60
85,N24,N50
86,N16,N46
87,N11,N31
88,N34,N94
89,N35,N95
90,N25,N93
91,N17,N92
92,N26,N97
93,N47,N100
94,N36,N99
95,N71,N104
96,N103,N108
97,N104,N109
98,N93,N107
99,N105,N111
100,N118,N117
101,N116,N116
102,N114,N115
103,N117,N119
104,N115,N118
105,N112,N114
106,N110,N113
107,N106,N112
108,N94,N110
109,N82,N106
110,N72,N105
111,N59,N103
112,N48,N102
113,N37,N101
114,N27,N98
115,N18,N96
116,N12,N91
117,N6,N30
118,N2,N27
119,N0,N0
