,Ectomycorrhiza,Endophyte,Ericoid mycorrhiza,Orchid mycorrhiza,Pathogen,Saprotroph
N4,0.063,0.019,0.003,0.012,0.018,0.885
N3,0.066,0.016,0.003,0.012,0.014,0.889
N6,0.07,0.375,0.003,0.215,0.039,0.298
N9,0.133,0.043,0.0,0.114,0.045,0.665
N8,0.133,0.051,0.001,0.074,0.057,0.684
N15,0.12,0.011,0.004,0.017,0.193,0.655
N14,0.115,0.005,0.001,0.011,0.067,0.801
N19,0.161,0.014,0.0,0.019,0.038,0.768
N21,0.405,0.006,0.0,0.007,0.016,0.566
N20,0.393,0.005,0.0,0.008,0.022,0.572
N18,0.264,0.007,0.001,0.011,0.021,0.696
N17,0.227,0.005,0.0,0.011,0.023,0.734
N16,0.236,0.005,0.0,0.01,0.027,0.722
N13,0.166,0.003,0.0,0.008,0.038,0.785
N12,0.154,0.005,0.0,0.008,0.045,0.788
N23,0.13,0.009,0.001,0.012,0.121,0.727
N26,0.794,0.005,0.0,0.011,0.022,0.168
N25,0.699,0.003,0.0,0.009,0.03,0.259
N24,0.504,0.005,0.0,0.017,0.043,0.431
N22,0.177,0.01,0.0,0.016,0.064,0.733
N11,0.156,0.011,0.0,0.017,0.052,0.764
N10,0.137,0.039,0.001,0.053,0.059,0.711
N7,0.14,0.058,0.001,0.061,0.054,0.686
N5,0.135,0.075,0.001,0.063,0.043,0.683
N2,0.152,0.034,0.0,0.025,0.034,0.755
N29,0.758,0.012,0.001,0.003,0.026,0.2
N28,0.577,0.017,0.002,0.003,0.049,0.352
N33,0.021,0.029,0.018,0.002,0.753,0.177
N40,0.103,0.075,0.367,0.001,0.056,0.398
N39,0.222,0.117,0.296,0.001,0.073,0.291
N38,0.147,0.133,0.315,0.0,0.098,0.307
N43,0.05,0.536,0.074,0.003,0.177,0.16
N45,0.038,0.603,0.066,0.0,0.153,0.14
N44,0.041,0.59,0.054,0.0,0.166,0.149
N42,0.054,0.561,0.062,0.0,0.161,0.162
N41,0.062,0.478,0.092,0.001,0.133,0.234
N37,0.083,0.25,0.163,0.001,0.149,0.354
N36,0.059,0.168,0.131,0.002,0.199,0.441
N35,0.049,0.168,0.134,0.002,0.257,0.39
N34,0.045,0.141,0.141,0.001,0.292,0.38
N32,0.023,0.051,0.025,0.001,0.48,0.42
N49,0.013,0.516,0.01,0.0,0.311,0.15
N48,0.011,0.307,0.015,0.0,0.388,0.279
N47,0.011,0.202,0.013,0.0,0.464,0.31
N52,0.015,0.169,0.003,0.001,0.565,0.247
N54,0.018,0.026,0.003,0.0,0.104,0.849
N59,0.018,0.045,0.002,0.001,0.082,0.852
N58,0.016,0.046,0.001,0.001,0.089,0.847
N57,0.024,0.031,0.001,0.0,0.064,0.88
N56,0.016,0.017,0.0,0.0,0.053,0.914
N55,0.013,0.018,0.001,0.0,0.053,0.915
N53,0.016,0.034,0.001,0.0,0.122,0.827
N51,0.01,0.072,0.003,0.0,0.394,0.521
N64,0.007,0.13,0.009,0.0,0.705,0.149
N66,0.004,0.027,0.002,0.0,0.867,0.1
N65,0.002,0.026,0.002,0.0,0.858,0.112
N63,0.005,0.043,0.005,0.0,0.763,0.184
N62,0.013,0.053,0.004,0.001,0.61,0.319
N68,0.007,0.225,0.005,0.0,0.729,0.034
N67,0.003,0.098,0.002,0.0,0.841,0.056
N61,0.009,0.07,0.004,0.0,0.659,0.258
N72,0.007,0.022,0.002,0.0,0.073,0.896
N71,0.008,0.026,0.002,0.0,0.1,0.864
N70,0.016,0.085,0.003,0.0,0.5,0.396
N77,0.029,0.193,0.026,0.003,0.594,0.155
N78,0.031,0.186,0.026,0.001,0.601,0.155
N76,0.022,0.148,0.021,0.001,0.664,0.144
